Watchlist 'TEST GPT BBs'

TEST GPT BBs
Symbol,Last,%Change,Volume,LBRevW,rVOLD
AAL,11.61,-0.09%,"2,114,119",Mean Reversion: 1,0.06
CXM,9.20,-15.13%,"2,047,802",Mean Reversion: 1,0.99
CSCO,45.99,-0.07%,"868,312",Mean Reversion: 1,0.04
DKNG,36.97,+0.85%,"738,172",Mean Reversion: 1,0.07
BBD,2.4750,+1.85%,"640,630",Mean Reversion: 1,0.04
BMY,40.905,-0.81%,"617,992",Mean Reversion: 1,0.04
CLF,16.04,-0.50%,"448,151",Mean Reversion: 1,0.06
ABEV,2.2100,+0.45%,"254,123",Mean Reversion: 1,0.02
CSX,32.90,-0.45%,"176,245",Mean Reversion: 1,0.01
CERE,40.97,+0.15%,"156,582",Mean Reversion: 1,0.14
BF/B,44.015,+2.27%,"110,111",Mean Reversion: 1,0.05
ALLO,2.4100,-1.23%,"106,505",Mean Reversion: 1,0.05
DBI,8.205,-3.58%,"102,508",Mean Reversion: 1,0.07
AKAM,90.56,-0.20%,"95,998",Mean Reversion: 0,0.06
CSGP,77.06,-1.28%,"93,282",Mean Reversion: 1,0.05
DBRG,13.36,+0.75%,"92,801",Mean Reversion: 1,0.04
BHC,6.255,-0.40%,"85,391",Mean Reversion: 1,0.02
CP,77.88,-0.01%,"77,371",Mean Reversion: 1,0.04
COTY,10.1599,+0.49%,"76,372",Mean Reversion: 1,0.02
DNUT,10.35,+0.39%,"74,889",Mean Reversion: 1,0.02
BAX,33.135,-0.17%,"66,811",Mean Reversion: 1,0.02
COUR,7.20,0.00%,"66,435",Mean Reversion: 1,0.03
ALIT,7.485,+0.60%,"63,470",Mean Reversion: 1,0.01
DLO,8.325,-0.30%,"61,203",Mean Reversion: 1,0.03
BEN,23.20,-0.51%,"58,007",Mean Reversion: 1,0.01
CNC,69.81,+0.16%,"56,061",Mean Reversion: 1,0.02
DV,18.43,+0.60%,"55,819",Mean Reversion: 1,0.02
CHGG,3.67,-0.27%,"51,957",Mean Reversion: 1,0.02
CX,7.07,+0.14%,"48,126",Mean Reversion: 1,0.01
DAR,37.56,-0.82%,"47,558",Mean Reversion: 1,0.02
DADA,1.6500,0.00%,"45,051",Mean Reversion: 1,0.02
APLE,14.28,-0.21%,"41,893",Mean Reversion: 1,0.02
EDU,77.07,+0.57%,"41,376",Mean Reversion: 1,0.02
CMA,48.87,+0.53%,"40,685",Mean Reversion: 1,0.02
CIG,1.9300,+1.58%,"39,369",Mean Reversion: 1,0.02
BRKR,63.82,+0.39%,"38,149",Mean Reversion: 1,0.03
ATEC,10.045,+1.06%,"37,717",Mean Reversion: 1,0.02
DINO,53.68,-0.06%,"36,208",Mean Reversion: 1,0.02
BILL,50.365,+0.39%,"35,052",Mean Reversion: 1,0.02
BANC,13.10,+0.15%,"26,604",Mean Reversion: 1,0.01
EVLV,2.6300,+0.38%,"26,562",Mean Reversion: 1,0.01
BRY,6.195,-1.20%,"24,991",Mean Reversion: 1,0.02
BLMN,20.23,+0.85%,"24,981",Mean Reversion: 1,0.02
DRH,8.35,0.00%,"22,433",Mean Reversion: 1,0.01
DXC,15.47,+0.13%,"20,894",Mean Reversion: 1,0.01
ARCO,9.8306,+0.62%,"19,205",Mean Reversion: 1,0.02
AVDX,10.70,+0.47%,"17,822",Mean Reversion: 1,0.01
EVH,22.945,-0.24%,"17,034",Mean Reversion: 1,0.01
DAWN,13.015,-0.34%,"15,713",Mean Reversion: 1,0.01
EBR,6.95,+1.61%,"15,288",Mean Reversion: 1,0.01
