Watchlist 'A. Long 2X5 SMA M'

A. Long 2X5 SMA M
Symbol,Last,%Change,Volume,perc chg,rVOLD
PACB,2.0500,+0.49%,"7,257,722",3.41,0.64
ESPR,2.4700,+6.01%,"10,540,099",3.36,1.33
AGBA,3.1000,-6.91%,"605,403",6.65,0.04
AMPS,4.19,-2.33%,"654,043",-2.56,0.53
AUTL,4.28,-0.23%,"1,639,527",-0.47,1.05
DDD,4.39,+5.53%,"7,273,443",6.54,4.9
NVTS,4.64,+1.53%,"2,654,571",-2.16,1.07
NIO,4.91,-6.83%,"84,453,807",-1.01,1.5
AUPH,5.39,-1.28%,"744,331",-1.64,0.55
GENI,5.55,+4.72%,"3,213,948",0.57,1.66
EGY,5.96,0.00%,"677,024",0.68,0.58
TMCI,6.11,0.00%,"947,203",1.85,0.74
AMRX,6.69,-1.76%,"1,192,052",-2.22,0.76
RLAY,7.27,-0.95%,"1,631,571",-1.87,1.3
VIAV,7.53,-1.70%,"1,053,247",-1.7,0.66
EVRI,7.55,-0.26%,"1,363,008",0.4,1.03
CLM,7.67,+0.52%,"1,226,057",0.26,0.84
BAYRY,7.74,-1.02%,"645,479",0.91,0.32
BYND,7.80,+4.42%,"2,096,348",7.28,0.83
WBD,8.34,+0.48%,"29,863,411",1.33,0.99
XPEV,8.36,+0.12%,"9,192,482",1.21,0.6
OKLO,8.48,-6.71%,"2,802,664",-5.88,0.8
FOLD,10.27,-2.00%,"1,206,004",-1.44,0.46
DRVN,11.33,-0.53%,"852,594",-0.61,0.63
EXTR,11.62,+1.22%,"973,342",1.04,0.47
PGX,11.66,+0.09%,"2,952,285",-0.77,0.79
RBGLY,11.70,+0.43%,"220,275",0.78,0.2
TWO,12.87,-1.30%,"953,371",-0.69,0.94
TAK,13.53,+0.15%,"1,529,675",0.89,0.97
ACAD,15.30,-0.13%,"1,024,911",-0.2,0.62
MODG,15.45,-1.15%,"1,887,252",-0.71,1.04
TU,16.71,+0.30%,"3,271,401",0.48,1.29
IRT,17.34,+0.46%,"3,555,506",1.11,1.66
YOU,17.75,+2.48%,"1,006,296",2.9,0.63
LBTYA,18.13,+0.61%,"2,579,558",1.0,1.35
NVST,18.44,-0.54%,"1,301,903",0.11,0.62
TRIP,18.45,+3.54%,"2,456,539",3.78,0.91
LBTYK,18.54,+0.22%,"2,593,591",0.22,0.98
KIM,19.01,-0.21%,"1,700,304",-0.26,0.39
FWRD,19.35,+0.57%,"722,195",-0.21,0.58
ARR,19.63,-0.81%,"622,322",0.31,0.61
SCHH,19.88,+0.25%,"2,674,626",-0.75,0.75
RWM,20.99,+0.77%,"1,352,592",0.14,0.62
IGT,21.03,+0.62%,"1,160,969",1.79,1.03
MTG,21.07,-1.22%,"1,903,594",-1.08,1.08
EXEL,22.18,+1.00%,"1,393,084",1.42,0.67
BRX,22.62,+0.58%,"1,794,889",1.12,0.78
PLTR,23.79,+3.61%,"60,400,366",3.13,1.41
VNO,24.42,+1.45%,"1,611,526",2.35,0.87
SNN,26.48,+0.84%,"540,406",0.42,0.53
UPST,26.87,+1.66%,"4,295,161",3.76,0.92
BOX,26.92,-0.74%,"1,639,195",0.96,1.02
CTRA,27.66,+0.36%,"4,487,500",0.65,0.75
XRAY,27.78,+0.51%,"2,569,680",1.05,0.69
LUV,27.85,-2.14%,"10,698,898",-2.18,1.12
EPRT,27.95,+0.76%,"1,371,297",1.38,1.11
NI,28.54,-0.66%,"3,112,709",-0.17,0.74
GLBE,30.15,-0.79%,"1,114,879",-0.26,0.84
NVEI,32.20,0.00%,"593,518",0.09,0.32
MTCH,32.70,+4.01%,"3,783,675",2.56,0.78
BCE,34.49,-0.06%,"1,785,871",0.81,0.77
RBLX,35.64,+0.11%,"3,674,615",1.02,0.45
AXTA,36.27,-0.22%,"2,106,305",-0.14,0.91
CZR,36.67,+0.27%,"4,239,020",1.07,0.95
GFL,38.65,+1.60%,"4,251,759",1.58,3.24
FE,39.10,-0.86%,"2,399,043",-0.53,0.91
IONS,39.87,0.00%,"536,365",0.08,0.5
RVMD,40.15,-1.30%,"1,348,359",-0.91,1.07
PINS,42.73,+3.69%,"12,395,736",3.99,1.35
NNN,42.74,+1.30%,"483,908",1.71,0.46
SMAR,44.27,+17.18%,"7,377,072",0.48,4.93
GM,45.61,-0.02%,"10,169,784",0.26,0.76
SM,47.35,+1.26%,"1,335,968",0.66,0.9
ROL,47.41,-0.08%,"1,361,027",-0.04,0.77
SEDG,48.32,-1.23%,"1,255,195",-0.41,0.61
OVV,48.37,+1.57%,"2,413,402",1.7,0.9
SNY,49.51,+0.77%,"1,065,211",0.86,0.49
TWST,53.00,+0.32%,"1,481,856",-0.34,1.37
UAL,53.30,+0.74%,"8,653,330",-0.04,0.85
SLG,54.22,+0.84%,"842,056",2.22,0.83
XEL,54.82,-0.62%,"2,395,085",-0.35,0.6
ASO,54.95,-1.96%,"1,027,576",-1.52,0.82
CRSP,59.96,+0.40%,"965,743",1.01,0.75
SHOP,61.46,+0.34%,"7,391,326",2.24,0.69
ELS,63.80,+0.05%,"753,584",0.52,0.57
KO,64.15,+0.36%,"8,658,456",0.27,0.71
ETSY,66.22,+2.10%,"2,792,925",2.65,0.84
PYPL,67.02,+5.49%,"22,068,792",4.58,2
ITCI,68.55,+1.09%,"480,961",3.41,0.47
UBER,68.90,+4.68%,"25,871,476",2.15,1.35
EWJ,69.24,-0.06%,"4,391,936",1.11,0.64
BALL,69.79,-0.29%,"1,404,511",-0.57,0.74
XLP,78.05,+0.31%,"9,759,491",0.57,0.78
VNQ,83.75,+0.19%,"4,002,138",0.55,0.92
IYR,87.13,+0.16%,"4,097,960",0.53,0.66
WHR,89.05,-0.53%,"672,830",-0.08,0.5
MBB,92.01,+0.03%,"2,441,569",0.14,1.02
XBI,92.82,-1.38%,"7,032,820",-1.71,0.68
CAH,98.80,+0.86%,"1,719,793",1.24,0.9
