proj_id,player_id,cbb_player_key,player,player_norm,team_abbr,opp_team_abbr,pp_team,pp_opp_team,pos,prop_type,prop_norm,pick_type,line,start_time,pp_game_id,league_id,team,stat_type,odds_type,opp_def_rank,opp_def_ppg,opp_def_tier,OVERALL_DEF_RANK
10050119,277929,chance westry|UAB,Chance Westry,chance westry,UAB,MEM,UAB,MEM,G,Fantasy Score,fantasy,Standard,29.0,2026-02-22T12:00:00.000-05:00,129747,20,UAB,Fantasy Score,standard,,,,
10048659,302244,daniel rivera|UAB,Daniel Rivera,daniel rivera,UAB,MEM,UAB,MEM,F,Pts+Rebs+Asts,pra,Demon,25.5,2026-02-22T12:00:00.000-05:00,129747,20,UAB,Pts+Rebs+Asts,demon,,,,
10050120,302244,daniel rivera|UAB,Daniel Rivera,daniel rivera,UAB,MEM,UAB,MEM,F,Fantasy Score,fantasy,Standard,25.0,2026-02-22T12:00:00.000-05:00,129747,20,UAB,Fantasy Score,standard,,,,
10049236,277929,chance westry|UAB,Chance Westry,chance westry,UAB,MEM,UAB,MEM,G,Pts+Rebs+Asts,pra,Standard,24.5,2026-02-22T12:00:00.000-05:00,129747,20,UAB,Pts+Rebs+Asts,standard,,,,
10048636,302243,curtis givens|MEM,Curtis Givens,curtis givens,MEM,UAB,MEM,UAB,G,Pts+Rebs+Asts,pra,Demon,23.5,2026-02-22T12:00:00.000-05:00,129747,20,MEM,Pts+Rebs+Asts,demon,,,,
10048658,302244,daniel rivera|UAB,Daniel Rivera,daniel rivera,UAB,MEM,UAB,MEM,F,Pts+Rebs+Asts,pra,Demon,23.5,2026-02-22T12:00:00.000-05:00,129747,20,UAB,Pts+Rebs+Asts,demon,,,,
10048686,278349,dug mcdaniel|MEM,Dug McDaniel,dug mcdaniel,MEM,UAB,MEM,UAB,G,Pts+Rebs+Asts,pra,Demon,22.5,2026-02-22T12:00:00.000-05:00,129747,20,MEM,Pts+Rebs+Asts,demon,,,,
10048634,302243,curtis givens|MEM,Curtis Givens,curtis givens,MEM,UAB,MEM,UAB,G,Pts+Rebs+Asts,pra,Demon,21.5,2026-02-22T12:00:00.000-05:00,129747,20,MEM,Pts+Rebs+Asts,demon,,,,
10048657,302244,daniel rivera|UAB,Daniel Rivera,daniel rivera,UAB,MEM,UAB,MEM,F,Pts+Rebs+Asts,pra,Demon,21.5,2026-02-22T12:00:00.000-05:00,129747,20,UAB,Pts+Rebs+Asts,demon,,,,
10050118,278349,dug mcdaniel|MEM,Dug McDaniel,dug mcdaniel,MEM,UAB,MEM,UAB,G,Fantasy Score,fantasy,Standard,21.5,2026-02-22T12:00:00.000-05:00,129747,20,MEM,Fantasy Score,standard,,,,
