proj_id,player_id,player,team,pp_team,pp_opp_team,pp_game_id,pos,stat_type,line,odds_type,start_time,league_id
10250255,292115,Alfred Worrell,MORG,MORG,NORF,132399,G,Points,18.5,standard,2026-03-02T18:00:00.000-05:00,20
10250259,304095,Anthony McComb,NORF,NORF,MORG,132399,G,Points,17.5,standard,2026-03-02T18:00:00.000-05:00,20
10250261,304097,Elijah Jamison,NORF,NORF,MORG,132399,G,Points,12.5,standard,2026-03-02T18:00:00.000-05:00,20
10250257,292112,Rob Lawson,MORG,MORG,NORF,132399,G,Points,11.0,standard,2026-03-02T18:00:00.000-05:00,20
10250260,304096,Devon Ellis,NORF,NORF,MORG,132399,F,Points,11.0,standard,2026-03-02T18:00:00.000-05:00,20
10250256,304093,Eugene Alvin,MORG,MORG,NORF,132399,F,Points,8.0,standard,2026-03-02T18:00:00.000-05:00,20
10250258,304094,Walter Peggs,MORG,MORG,NORF,132399,G,Points,8.0,standard,2026-03-02T18:00:00.000-05:00,20
10250270,292115,Alfred Worrell,MORG,MORG,NORF,132399,G,Rebounds,4.5,standard,2026-03-02T18:00:00.000-05:00,20
10250272,304096,Devon Ellis,NORF,NORF,MORG,132399,F,Rebounds,4.5,standard,2026-03-02T18:00:00.000-05:00,20
10250271,292112,Rob Lawson,MORG,MORG,NORF,132399,G,Rebounds,3.5,standard,2026-03-02T18:00:00.000-05:00,20
10238339,274122,Cameron Boozer,DUKE,DUKE,NCST,132400,F,Points,22.5,standard,2026-03-02T19:00:00.000-05:00,20
10238341,218054,Caleb Foster,DUKE,DUKE,NCST,132400,G,Points,8.5,standard,2026-03-02T19:00:00.000-05:00,20
10239665,274122,Cameron Boozer,DUKE,DUKE,NCST,132400,F,Fantasy Score,42.5,standard,2026-03-02T19:00:00.000-05:00,20
10239144,274122,Cameron Boozer,DUKE,DUKE,NCST,132400,F,Pts+Rebs+Asts,36.5,standard,2026-03-02T19:00:00.000-05:00,20
10239286,274122,Cameron Boozer,DUKE,DUKE,NCST,132400,F,Pts+Rebs,32.5,standard,2026-03-02T19:00:00.000-05:00,20
10239314,274122,Cameron Boozer,DUKE,DUKE,NCST,132400,F,Pts+Asts,26.5,standard,2026-03-02T19:00:00.000-05:00,20
10239674,277931,Quadir Copeland,NCST,NCST,DUKE,132400,G,Fantasy Score,26.5,standard,2026-03-02T19:00:00.000-05:00,20
10239679,276747,Ven-Allen Lubin,NCST,NCST,DUKE,132400,F,Fantasy Score,25.5,standard,2026-03-02T19:00:00.000-05:00,20
10239669,276746,Darrion Williams,NCST,NCST,DUKE,132400,F,Fantasy Score,24.5,standard,2026-03-02T19:00:00.000-05:00,20
10239149,277931,Quadir Copeland,NCST,NCST,DUKE,132400,G,Pts+Rebs+Asts,22.0,standard,2026-03-02T19:00:00.000-05:00,20
10239666,221498,Isaiah Evans,DUKE,DUKE,NCST,132400,G-F,Fantasy Score,22.0,standard,2026-03-02T19:00:00.000-05:00,20
10239667,274124,Patrick Ngongba,DUKE,DUKE,NCST,132400,C,Fantasy Score,22.0,standard,2026-03-02T19:00:00.000-05:00,20
10239150,276747,Ven-Allen Lubin,NCST,NCST,DUKE,132400,F,Pts+Rebs+Asts,21.0,standard,2026-03-02T19:00:00.000-05:00,20
10239292,276747,Ven-Allen Lubin,NCST,NCST,DUKE,132400,F,Pts+Rebs,20.0,standard,2026-03-02T19:00:00.000-05:00,20
10239145,221498,Isaiah Evans,DUKE,DUKE,NCST,132400,G-F,Pts+Rebs+Asts,19.5,standard,2026-03-02T19:00:00.000-05:00,20
10239147,276746,Darrion Williams,NCST,NCST,DUKE,132400,F,Pts+Rebs+Asts,19.5,standard,2026-03-02T19:00:00.000-05:00,20
10239319,277931,Quadir Copeland,NCST,NCST,DUKE,132400,G,Pts+Asts,19.0,standard,2026-03-02T19:00:00.000-05:00,20
10239146,274124,Patrick Ngongba,DUKE,DUKE,NCST,132400,C,Pts+Rebs+Asts,18.5,standard,2026-03-02T19:00:00.000-05:00,20
10239287,221498,Isaiah Evans,DUKE,DUKE,NCST,132400,G-F,Pts+Rebs,18.5,standard,2026-03-02T19:00:00.000-05:00,20
10239672,277930,Paul McNeil,NCST,NCST,DUKE,132400,G,Fantasy Score,18.5,standard,2026-03-02T19:00:00.000-05:00,20
10239289,276746,Darrion Williams,NCST,NCST,DUKE,132400,F,Pts+Rebs,17.5,standard,2026-03-02T19:00:00.000-05:00,20
10239664,218054,Caleb Foster,DUKE,DUKE,NCST,132400,G,Fantasy Score,17.5,standard,2026-03-02T19:00:00.000-05:00,20
