proj_id,player_id,cbb_player_key,player,player_norm,team_abbr,opp_team_abbr,pp_team,pp_opp_team,pos,prop_type,prop_norm,pick_type,line,start_time,pp_game_id,league_id,team,stat_type,odds_type
10250255,292115,alfred worrell|MORG,Alfred Worrell,alfred worrell,MORG,NORF,MORG,NORF,G,Points,pts,Standard,18.5,2026-03-02T18:00:00.000-05:00,132399,20,MORG,Points,standard
10250259,304095,anthony mccomb|NORF,Anthony McComb,anthony mccomb,NORF,MORG,NORF,MORG,G,Points,pts,Standard,17.5,2026-03-02T18:00:00.000-05:00,132399,20,NORF,Points,standard
10250261,304097,elijah jamison|NORF,Elijah Jamison,elijah jamison,NORF,MORG,NORF,MORG,G,Points,pts,Standard,12.5,2026-03-02T18:00:00.000-05:00,132399,20,NORF,Points,standard
10250257,292112,rob lawson|MORG,Rob Lawson,rob lawson,MORG,NORF,MORG,NORF,G,Points,pts,Standard,11.0,2026-03-02T18:00:00.000-05:00,132399,20,MORG,Points,standard
10250260,304096,devon ellis|NORF,Devon Ellis,devon ellis,NORF,MORG,NORF,MORG,F,Points,pts,Standard,11.0,2026-03-02T18:00:00.000-05:00,132399,20,NORF,Points,standard
10250256,304093,eugene alvin|MORG,Eugene Alvin,eugene alvin,MORG,NORF,MORG,NORF,F,Points,pts,Standard,8.0,2026-03-02T18:00:00.000-05:00,132399,20,MORG,Points,standard
10250258,304094,walter peggs|MORG,Walter Peggs,walter peggs,MORG,NORF,MORG,NORF,G,Points,pts,Standard,8.0,2026-03-02T18:00:00.000-05:00,132399,20,MORG,Points,standard
10250270,292115,alfred worrell|MORG,Alfred Worrell,alfred worrell,MORG,NORF,MORG,NORF,G,Rebounds,reb,Standard,4.5,2026-03-02T18:00:00.000-05:00,132399,20,MORG,Rebounds,standard
10250272,304096,devon ellis|NORF,Devon Ellis,devon ellis,NORF,MORG,NORF,MORG,F,Rebounds,reb,Standard,4.5,2026-03-02T18:00:00.000-05:00,132399,20,NORF,Rebounds,standard
10250271,292112,rob lawson|MORG,Rob Lawson,rob lawson,MORG,NORF,MORG,NORF,G,Rebounds,reb,Standard,3.5,2026-03-02T18:00:00.000-05:00,132399,20,MORG,Rebounds,standard
10238339,274122,cameron boozer|DUKE,Cameron Boozer,cameron boozer,DUKE,NCST,DUKE,NCST,F,Points,pts,Standard,22.5,2026-03-02T19:00:00.000-05:00,132400,20,DUKE,Points,standard
10238341,218054,caleb foster|DUKE,Caleb Foster,caleb foster,DUKE,NCST,DUKE,NCST,G,Points,pts,Standard,8.5,2026-03-02T19:00:00.000-05:00,132400,20,DUKE,Points,standard
10239665,274122,cameron boozer|DUKE,Cameron Boozer,cameron boozer,DUKE,NCST,DUKE,NCST,F,Fantasy Score,fantasy,Standard,42.5,2026-03-02T19:00:00.000-05:00,132400,20,DUKE,Fantasy Score,standard
10239144,274122,cameron boozer|DUKE,Cameron Boozer,cameron boozer,DUKE,NCST,DUKE,NCST,F,Pts+Rebs+Asts,pra,Standard,36.5,2026-03-02T19:00:00.000-05:00,132400,20,DUKE,Pts+Rebs+Asts,standard
10239286,274122,cameron boozer|DUKE,Cameron Boozer,cameron boozer,DUKE,NCST,DUKE,NCST,F,Pts+Rebs,pr,Standard,32.5,2026-03-02T19:00:00.000-05:00,132400,20,DUKE,Pts+Rebs,standard
10239314,274122,cameron boozer|DUKE,Cameron Boozer,cameron boozer,DUKE,NCST,DUKE,NCST,F,Pts+Asts,pa,Standard,26.5,2026-03-02T19:00:00.000-05:00,132400,20,DUKE,Pts+Asts,standard
10239674,277931,quadir copeland|NCST,Quadir Copeland,quadir copeland,NCST,DUKE,NCST,DUKE,G,Fantasy Score,fantasy,Standard,26.5,2026-03-02T19:00:00.000-05:00,132400,20,NCST,Fantasy Score,standard
10239679,276747,ven allen lubin|NCST,Ven-Allen Lubin,ven allen lubin,NCST,DUKE,NCST,DUKE,F,Fantasy Score,fantasy,Standard,25.5,2026-03-02T19:00:00.000-05:00,132400,20,NCST,Fantasy Score,standard
