proj_id,player_id,cbb_player_key,player,player_norm,team_abbr,opp_team_abbr,pp_team,pp_opp_team,pos,prop_type,prop_norm,pick_type,line,start_time,pp_game_id,league_id,team,stat_type,odds_type,opp_def_rank,opp_def_ppg,opp_def_tier,def_tier,OVERALL_DEF_RANK,team_id,espn_athlete_id,attach_status
10511073,220076,rafael castro|GW,Rafael Castro,rafael castro,GW,FOR,GW,FOR,C,Fantasy Score,fantasy,Standard,35.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Fantasy Score,standard,12,64.68,,,12,45,4684443,OK_TEAM
10511071,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Fantasy Score,fantasy,Standard,31.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Fantasy Score,standard,,,,,,2230,5175415,OK_TEAM
10496508,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Pts+Rebs+Asts,pra,Standard,26.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Pts+Rebs+Asts,standard,,,,,,2230,5175415,OK_TEAM
10496521,220076,rafael castro|GW,Rafael Castro,rafael castro,GW,FOR,GW,FOR,C,Pts+Rebs+Asts,pra,Standard,26.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Pts+Rebs+Asts,standard,12,64.68,,,12,45,4684443,OK_TEAM
10511072,306602,rikus schulte|FOR,Rikus Schulte,rikus schulte,FOR,GW,FOR,GW,F,Fantasy Score,fantasy,Standard,26.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Fantasy Score,standard,,,,,,2230,5174571,OK_TEAM
10507482,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Pts+Rebs,pr,Standard,23.0,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Pts+Rebs,standard,,,,,,2230,5175415,OK_TEAM
10496507,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Pts+Rebs,pr,Standard,22.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Pts+Rebs,standard,,,,,,2230,5175415,OK_TEAM
10507445,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Pts+Asts,pa,Standard,22.0,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Pts+Asts,standard,,,,,,2230,5175415,OK_TEAM
10496527,306602,rikus schulte|FOR,Rikus Schulte,rikus schulte,FOR,GW,FOR,GW,F,Pts+Rebs+Asts,pra,Standard,20.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Pts+Rebs+Asts,standard,,,,,,2230,5174571,OK_TEAM
10496505,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Points,pts,Standard,18.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Points,standard,,,,,,2230,5175415,OK_TEAM
10496516,303457,jean aranguren|GW,Jean Aranguren,jean aranguren,GW,FOR,GW,FOR,G,Pts+Rebs+Asts,pra,Standard,17.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Pts+Rebs+Asts,standard,12,64.68,,,12,45,5177098,OK_TEAM
10507444,298342,christian henry|FOR,Christian Henry,christian henry,FOR,GW,FOR,GW,G,Pts+Asts,pa,Standard,17.0,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Pts+Asts,standard,,,,,,2230,5242936,OK_TEAM
10496497,298342,christian henry|FOR,Christian Henry,christian henry,FOR,GW,FOR,GW,G,Pts+Asts,pa,Standard,16.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Pts+Asts,standard,,,,,,2230,5242936,OK_TEAM
10496501,224848,christian jones|GW,Christian Jones,christian jones,GW,FOR,GW,FOR,G,Pts+Rebs+Asts,pra,Standard,16.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Pts+Rebs+Asts,standard,12,64.68,,,12,45,4685650,OK_TEAM
10507481,306599,abass bodija|FOR,Abass Bodija,abass bodija,FOR,GW,FOR,GW,F,Pts+Rebs,pr,Standard,16.0,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Pts+Rebs,standard,,,,,,2230,5241956,OK_TEAM
10496520,220076,rafael castro|GW,Rafael Castro,rafael castro,GW,FOR,GW,FOR,C,Points,pts,Standard,15.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Points,standard,12,64.68,,,12,45,4684443,OK_TEAM
10507484,306601,luke hunger|GW,Luke Hunger,luke hunger,GW,FOR,GW,FOR,F,Pts+Rebs,pr,Standard,14.0,2026-03-12T11:30:00.000-04:00,142198,20,GW,Pts+Rebs,standard,12,64.68,,,12,45,5105833,OK_TEAM
10494331,179828,trey autry|GW,Trey Autry,trey autry,GW,FOR,GW,FOR,G,Pts+Rebs,pr,Standard,13.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Pts+Rebs,standard,12,64.68,,,12,45,5174599,OK_TEAM
10496515,303457,jean aranguren|GW,Jean Aranguren,jean aranguren,GW,FOR,GW,FOR,G,Pts+Rebs,pr,Standard,13.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Pts+Rebs,standard,12,64.68,,,12,45,5177098,OK_TEAM
10496673,224848,christian jones|GW,Christian Jones,christian jones,GW,FOR,GW,FOR,G,Points,pts,Demon,13.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Points,demon,12,64.68,,,12,45,4685650,OK_TEAM
10496686,179828,trey autry|GW,Trey Autry,trey autry,GW,FOR,GW,FOR,G,Points,pts,Demon,13.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Points,demon,12,64.68,,,12,45,5174599,OK_TEAM
10507446,224848,christian jones|GW,Christian Jones,christian jones,GW,FOR,GW,FOR,G,Pts+Asts,pa,Standard,13.0,2026-03-12T11:30:00.000-04:00,142198,20,GW,Pts+Asts,standard,12,64.68,,,12,45,4685650,OK_TEAM
10507483,224848,christian jones|GW,Christian Jones,christian jones,GW,FOR,GW,FOR,G,Pts+Rebs,pr,Standard,13.0,2026-03-12T11:30:00.000-04:00,142198,20,GW,Pts+Rebs,standard,12,64.68,,,12,45,4685650,OK_TEAM
10507485,179828,trey autry|GW,Trey Autry,trey autry,GW,FOR,GW,FOR,G,Pts+Rebs,pr,Standard,13.0,2026-03-12T11:30:00.000-04:00,142198,20,GW,Pts+Rebs,standard,12,64.68,,,12,45,5174599,OK_TEAM
10496492,306600,akira jacobs|FOR,Akira Jacobs,akira jacobs,FOR,GW,FOR,GW,F,Pts+Rebs,pr,Standard,12.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Pts+Rebs,standard,,,,,,2230,5176374,OK_TEAM
10496514,303457,jean aranguren|GW,Jean Aranguren,jean aranguren,GW,FOR,GW,FOR,G,Pts+Asts,pa,Standard,12.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Pts+Asts,standard,12,64.68,,,12,45,5177098,OK_TEAM
10496672,224848,christian jones|GW,Christian Jones,christian jones,GW,FOR,GW,FOR,G,Points,pts,Demon,12.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Points,demon,12,64.68,,,12,45,4685650,OK_TEAM
10496684,179828,trey autry|GW,Trey Autry,trey autry,GW,FOR,GW,FOR,G,Points,pts,Demon,12.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Points,demon,12,64.68,,,12,45,5174599,OK_TEAM
10514990,224848,christian jones|GW,Christian Jones,christian jones,GW,FOR,GW,FOR,G,Pts+Asts,pa,Standard,12.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Pts+Asts,standard,12,64.68,,,12,45,4685650,OK_TEAM
10496496,298342,christian henry|FOR,Christian Henry,christian henry,FOR,GW,FOR,GW,G,Points,pts,Standard,11.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Points,standard,,,,,,2230,5242936,OK_TEAM
10496674,224848,christian jones|GW,Christian Jones,christian jones,GW,FOR,GW,FOR,G,Points,pts,Demon,11.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Points,demon,12,64.68,,,12,45,4685650,OK_TEAM
10496685,179828,trey autry|GW,Trey Autry,trey autry,GW,FOR,GW,FOR,G,Points,pts,Demon,11.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Points,demon,12,64.68,,,12,45,5174599,OK_TEAM
10496526,306602,rikus schulte|FOR,Rikus Schulte,rikus schulte,FOR,GW,FOR,GW,F,Points,pts,Standard,10.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Points,standard,,,,,,2230,5174571,OK_TEAM
10494326,224848,christian jones|GW,Christian Jones,christian jones,GW,FOR,GW,FOR,G,Points,pts,Standard,9.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Points,standard,12,64.68,,,12,45,4685650,OK_TEAM
10494330,179828,trey autry|GW,Trey Autry,trey autry,GW,FOR,GW,FOR,G,Points,pts,Standard,9.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Points,standard,12,64.68,,,12,45,5174599,OK_TEAM
10496486,306599,abass bodija|FOR,Abass Bodija,abass bodija,FOR,GW,FOR,GW,F,Points,pts,Standard,9.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Points,standard,,,,,,2230,5241956,OK_TEAM
10496513,303457,jean aranguren|GW,Jean Aranguren,jean aranguren,GW,FOR,GW,FOR,G,Points,pts,Standard,9.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Points,standard,12,64.68,,,12,45,5177098,OK_TEAM
10496522,220076,rafael castro|GW,Rafael Castro,rafael castro,GW,FOR,GW,FOR,C,Rebounds,reb,Standard,8.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Rebounds,standard,12,64.68,,,12,45,4684443,OK_TEAM
10496528,306602,rikus schulte|FOR,Rikus Schulte,rikus schulte,FOR,GW,FOR,GW,F,Rebounds,reb,Standard,8.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Rebounds,standard,,,,,,2230,5174571,OK_TEAM
10496675,224848,christian jones|GW,Christian Jones,christian jones,GW,FOR,GW,FOR,G,Points,pts,Goblin,8.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Points,goblin,12,64.68,,,12,45,4685650,OK_TEAM
10496687,179828,trey autry|GW,Trey Autry,trey autry,GW,FOR,GW,FOR,G,Points,pts,Goblin,8.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Points,goblin,12,64.68,,,12,45,5174599,OK_TEAM
10507560,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Rebs+Asts,ra,Standard,8.0,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Rebs+Asts,standard,,,,,,2230,5175415,OK_TEAM
10507561,303457,jean aranguren|GW,Jean Aranguren,jean aranguren,GW,FOR,GW,FOR,G,Rebs+Asts,ra,Standard,8.0,2026-03-12T11:30:00.000-04:00,142198,20,GW,Rebs+Asts,standard,12,64.68,,,12,45,5177098,OK_TEAM
10516916,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Rebs+Asts,ra,Goblin,7.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Rebs+Asts,goblin,,,,,,2230,5175415,OK_TEAM
10496491,306600,akira jacobs|FOR,Akira Jacobs,akira jacobs,FOR,GW,FOR,GW,F,Points,pts,Standard,6.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Points,standard,,,,,,2230,5176374,OK_TEAM
10496502,224848,christian jones|GW,Christian Jones,christian jones,GW,FOR,GW,FOR,G,Rebs+Asts,ra,Standard,6.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Rebs+Asts,standard,12,64.68,,,12,45,4685650,OK_TEAM
10496689,179828,trey autry|GW,Trey Autry,trey autry,GW,FOR,GW,FOR,G,Rebounds,reb,Demon,6.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Rebounds,demon,12,64.68,,,12,45,5174599,OK_TEAM
10506314,306600,akira jacobs|FOR,Akira Jacobs,akira jacobs,FOR,GW,FOR,GW,F,Rebounds,reb,Standard,6.0,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Rebounds,standard,,,,,,2230,5176374,OK_TEAM
10496493,306600,akira jacobs|FOR,Akira Jacobs,akira jacobs,FOR,GW,FOR,GW,F,Rebounds,reb,Goblin,5.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Rebounds,goblin,,,,,,2230,5176374,OK_TEAM
10496495,298342,christian henry|FOR,Christian Henry,christian henry,FOR,GW,FOR,GW,G,Assists,ast,Demon,5.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Assists,demon,,,,,,2230,5242936,OK_TEAM
10496518,306601,luke hunger|GW,Luke Hunger,luke hunger,GW,FOR,GW,FOR,F,Rebounds,reb,Standard,5.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Rebounds,standard,12,64.68,,,12,45,5105833,OK_TEAM
10496677,224848,christian jones|GW,Christian Jones,christian jones,GW,FOR,GW,FOR,G,Rebounds,reb,Demon,5.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Rebounds,demon,12,64.68,,,12,45,4685650,OK_TEAM
10496688,179828,trey autry|GW,Trey Autry,trey autry,GW,FOR,GW,FOR,G,Rebounds,reb,Demon,5.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Rebounds,demon,12,64.68,,,12,45,5174599,OK_TEAM
10506357,298342,christian henry|FOR,Christian Henry,christian henry,FOR,GW,FOR,GW,G,Assists,ast,Standard,5.0,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Assists,standard,,,,,,2230,5242936,OK_TEAM
10494332,179828,trey autry|GW,Trey Autry,trey autry,GW,FOR,GW,FOR,G,Rebounds,reb,Demon,4.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Rebounds,demon,12,64.68,,,12,45,5174599,OK_TEAM
10496676,224848,christian jones|GW,Christian Jones,christian jones,GW,FOR,GW,FOR,G,Rebounds,reb,Demon,4.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Rebounds,demon,12,64.68,,,12,45,4685650,OK_TEAM
10496682,179828,trey autry|GW,Trey Autry,trey autry,GW,FOR,GW,FOR,G,3-PT Made,3pm,Demon,4.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,3-PT Made,demon,12,64.68,,,12,45,5174599,OK_TEAM
10496500,224848,christian jones|GW,Christian Jones,christian jones,GW,FOR,GW,FOR,G,Assists,ast,Demon,3.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Assists,demon,12,64.68,,,12,45,4685650,OK_TEAM
10496504,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Assists,ast,Standard,3.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Assists,standard,,,,,,2230,5175415,OK_TEAM
