proj_id,player_id,cbb_player_key,player,player_norm,team_abbr,opp_team_abbr,pp_team,pp_opp_team,pos,prop_type,prop_norm,pick_type,line,start_time,pp_game_id,league_id,team,stat_type,odds_type,opp_def_rank,opp_def_ppg,opp_def_tier,def_tier,OVERALL_DEF_RANK
10367084,304486,malique ewin|ARK,Malique Ewin,malique ewin,ARK,MIZZ,ARK,MIZZ,F,Rebounds,reb,Standard,6.5,2026-03-07T12:00:00.000-05:00,133768,20,ARK,Rebounds,standard,,,,,
10367090,280786,meleek thomas|ARK,Meleek Thomas,meleek thomas,ARK,MIZZ,ARK,MIZZ,G,Rebounds,reb,Standard,3.5,2026-03-07T12:00:00.000-05:00,133768,20,ARK,Rebounds,standard,,,,,
10364718,278364,kingston flemings|HOU,Kingston Flemings,kingston flemings,HOU,OKST,HOU,OKST,G,Pts+Rebs+Asts,pra,Demon,34.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs+Asts,demon,345,81.37,Weak,Weak,345
10367381,278364,kingston flemings|HOU,Kingston Flemings,kingston flemings,HOU,OKST,HOU,OKST,G,Fantasy Score,fantasy,Standard,33.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Fantasy Score,standard,345,81.37,Weak,Weak,345
10387061,278364,kingston flemings|HOU,Kingston Flemings,kingston flemings,HOU,OKST,HOU,OKST,G,Pts+Rebs,pr,Demon,29.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs,demon,345,81.37,Weak,Weak,345
10364626,286539,anthony roy|OKST,Anthony Roy,anthony roy,OKST,HOU,OKST,HOU,G,Pts+Rebs+Asts,pra,Demon,26.5,2026-03-07T12:00:00.000-05:00,133762,20,OKST,Pts+Rebs+Asts,demon,2,62.04,Elite,Elite,2
10364671,182904,emanuel sharp|HOU,Emanuel Sharp,emanuel sharp,HOU,OKST,HOU,OKST,G,Pts+Rebs+Asts,pra,Demon,26.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs+Asts,demon,345,81.37,Weak,Weak,345
10367376,182904,emanuel sharp|HOU,Emanuel Sharp,emanuel sharp,HOU,OKST,HOU,OKST,G,Fantasy Score,fantasy,Standard,26.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Fantasy Score,standard,345,81.37,Weak,Weak,345
10364625,286539,anthony roy|OKST,Anthony Roy,anthony roy,OKST,HOU,OKST,HOU,G,Pts+Rebs+Asts,pra,Demon,24.5,2026-03-07T12:00:00.000-05:00,133762,20,OKST,Pts+Rebs+Asts,demon,2,62.04,Elite,Elite,2
10364673,182904,emanuel sharp|HOU,Emanuel Sharp,emanuel sharp,HOU,OKST,HOU,OKST,G,Pts+Rebs+Asts,pra,Demon,24.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs+Asts,demon,345,81.37,Weak,Weak,345
10364715,278364,kingston flemings|HOU,Kingston Flemings,kingston flemings,HOU,OKST,HOU,OKST,G,Points,pts,Demon,24.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Points,demon,345,81.37,Weak,Weak,345
10387062,278364,kingston flemings|HOU,Kingston Flemings,kingston flemings,HOU,OKST,HOU,OKST,G,Pts+Rebs,pr,Demon,24.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs,demon,345,81.37,Weak,Weak,345
10388071,278364,kingston flemings|HOU,Kingston Flemings,kingston flemings,HOU,OKST,HOU,OKST,G,Pts+Rebs+Asts,pra,Goblin,24.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs+Asts,goblin,345,81.37,Weak,Weak,345
10388789,278362,chris cenac|HOU,Chris Cenac,chris cenac,HOU,OKST,HOU,OKST,F-C,Pts+Rebs,pr,Demon,24.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs,demon,345,81.37,Weak,Weak,345
10364509,278364,kingston flemings|HOU,Kingston Flemings,kingston flemings,HOU,OKST,HOU,OKST,G,Pts+Asts,pa,Standard,24.0,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Asts,standard,345,81.37,Weak,Weak,345
10367374,278362,chris cenac|HOU,Chris Cenac,chris cenac,HOU,OKST,HOU,OKST,F-C,Fantasy Score,fantasy,Standard,23.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Fantasy Score,standard,345,81.37,Weak,Weak,345
10364510,278364,kingston flemings|HOU,Kingston Flemings,kingston flemings,HOU,OKST,HOU,OKST,G,Pts+Rebs,pr,Standard,23.0,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs,standard,345,81.37,Weak,Weak,345
10364627,286539,anthony roy|OKST,Anthony Roy,anthony roy,OKST,HOU,OKST,HOU,G,Pts+Rebs+Asts,pra,Demon,22.5,2026-03-07T12:00:00.000-05:00,133762,20,OKST,Pts+Rebs+Asts,demon,2,62.04,Elite,Elite,2
10364668,182904,emanuel sharp|HOU,Emanuel Sharp,emanuel sharp,HOU,OKST,HOU,OKST,G,Points,pts,Demon,22.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Points,demon,345,81.37,Weak,Weak,345
10364713,278364,kingston flemings|HOU,Kingston Flemings,kingston flemings,HOU,OKST,HOU,OKST,G,Points,pts,Demon,22.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Points,demon,345,81.37,Weak,Weak,345
10388957,182904,emanuel sharp|HOU,Emanuel Sharp,emanuel sharp,HOU,OKST,HOU,OKST,G,Pts+Rebs+Asts,pra,Goblin,22.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs+Asts,goblin,345,81.37,Weak,Weak,345
10364488,182904,emanuel sharp|HOU,Emanuel Sharp,emanuel sharp,HOU,OKST,HOU,OKST,G,Pts+Rebs+Asts,pra,Standard,22.0,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs+Asts,standard,345,81.37,Weak,Weak,345
10364464,286539,anthony roy|OKST,Anthony Roy,anthony roy,OKST,HOU,OKST,HOU,G,Pts+Rebs+Asts,pra,Standard,21.5,2026-03-07T12:00:00.000-05:00,133762,20,OKST,Pts+Rebs+Asts,standard,2,62.04,Elite,Elite,2
10364653,289982,christian coleman|OKST,Christian Coleman,christian coleman,OKST,HOU,OKST,HOU,G,Pts+Rebs+Asts,pra,Demon,21.5,2026-03-07T12:00:00.000-05:00,133762,20,OKST,Pts+Rebs+Asts,demon,2,62.04,Elite,Elite,2
10364699,289984,kanye clary|OKST,Kanye Clary,kanye clary,OKST,HOU,OKST,HOU,G,Pts+Rebs+Asts,pra,Demon,21.5,2026-03-07T12:00:00.000-05:00,133762,20,OKST,Pts+Rebs+Asts,demon,2,62.04,Elite,Elite,2
10367382,289984,kanye clary|OKST,Kanye Clary,kanye clary,OKST,HOU,OKST,HOU,G,Fantasy Score,fantasy,Standard,21.5,2026-03-07T12:00:00.000-05:00,133762,20,OKST,Fantasy Score,standard,2,62.04,Elite,Elite,2
10364487,182904,emanuel sharp|HOU,Emanuel Sharp,emanuel sharp,HOU,OKST,HOU,OKST,G,Pts+Rebs,pr,Standard,20.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs,standard,345,81.37,Weak,Weak,345
10364667,182904,emanuel sharp|HOU,Emanuel Sharp,emanuel sharp,HOU,OKST,HOU,OKST,G,Points,pts,Demon,20.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Points,demon,345,81.37,Weak,Weak,345
10364670,182904,emanuel sharp|HOU,Emanuel Sharp,emanuel sharp,HOU,OKST,HOU,OKST,G,Pts+Rebs+Asts,pra,Goblin,20.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs+Asts,goblin,345,81.37,Weak,Weak,345
10364714,278364,kingston flemings|HOU,Kingston Flemings,kingston flemings,HOU,OKST,HOU,OKST,G,Points,pts,Demon,20.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Points,demon,345,81.37,Weak,Weak,345
10364463,286539,anthony roy|OKST,Anthony Roy,anthony roy,OKST,HOU,OKST,HOU,G,Pts+Rebs,pr,Standard,19.5,2026-03-07T12:00:00.000-05:00,133762,20,OKST,Pts+Rebs,standard,2,62.04,Elite,Elite,2
10364486,182904,emanuel sharp|HOU,Emanuel Sharp,emanuel sharp,HOU,OKST,HOU,OKST,G,Pts+Asts,pa,Standard,19.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Asts,standard,345,81.37,Weak,Weak,345
10364621,286539,anthony roy|OKST,Anthony Roy,anthony roy,OKST,HOU,OKST,HOU,G,Points,pts,Demon,19.5,2026-03-07T12:00:00.000-05:00,133762,20,OKST,Points,demon,2,62.04,Elite,Elite,2
10364652,289982,christian coleman|OKST,Christian Coleman,christian coleman,OKST,HOU,OKST,HOU,G,Pts+Rebs+Asts,pra,Demon,19.5,2026-03-07T12:00:00.000-05:00,133762,20,OKST,Pts+Rebs+Asts,demon,2,62.04,Elite,Elite,2
10364700,289984,kanye clary|OKST,Kanye Clary,kanye clary,OKST,HOU,OKST,HOU,G,Pts+Rebs+Asts,pra,Demon,19.5,2026-03-07T12:00:00.000-05:00,133762,20,OKST,Pts+Rebs+Asts,demon,2,62.04,Elite,Elite,2
10372914,182904,emanuel sharp|HOU,Emanuel Sharp,emanuel sharp,HOU,OKST,HOU,OKST,G,Pts+Rebs+Asts,pra,Goblin,19.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs+Asts,goblin,345,81.37,Weak,Weak,345
10387060,278364,kingston flemings|HOU,Kingston Flemings,kingston flemings,HOU,OKST,HOU,OKST,G,Pts+Rebs,pr,Goblin,19.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs,goblin,345,81.37,Weak,Weak,345
10387064,218833,milos uzan|HOU,Milos Uzan,milos uzan,HOU,OKST,HOU,OKST,G,Pts+Rebs,pr,Demon,19.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs,demon,345,81.37,Weak,Weak,345
10388790,278362,chris cenac|HOU,Chris Cenac,chris cenac,HOU,OKST,HOU,OKST,F-C,Pts+Rebs,pr,Demon,19.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs,demon,345,81.37,Weak,Weak,345
10388956,286539,anthony roy|OKST,Anthony Roy,anthony roy,OKST,HOU,OKST,HOU,G,Pts+Rebs+Asts,pra,Goblin,19.5,2026-03-07T12:00:00.000-05:00,133762,20,OKST,Pts+Rebs+Asts,goblin,2,62.04,Elite,Elite,2
10364517,218833,milos uzan|HOU,Milos Uzan,milos uzan,HOU,OKST,HOU,OKST,G,Pts+Rebs+Asts,pra,Standard,19.0,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs+Asts,standard,345,81.37,Weak,Weak,345
10367153,278362,chris cenac|HOU,Chris Cenac,chris cenac,HOU,OKST,HOU,OKST,F-C,Pts+Rebs+Asts,pra,Standard,19.0,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Pts+Rebs+Asts,standard,345,81.37,Weak,Weak,345
10364624,286539,anthony roy|OKST,Anthony Roy,anthony roy,OKST,HOU,OKST,HOU,G,Pts+Rebs+Asts,pra,Goblin,18.5,2026-03-07T12:00:00.000-05:00,133762,20,OKST,Pts+Rebs+Asts,goblin,2,62.04,Elite,Elite,2
10364669,182904,emanuel sharp|HOU,Emanuel Sharp,emanuel sharp,HOU,OKST,HOU,OKST,G,Points,pts,Demon,18.5,2026-03-07T12:00:00.000-05:00,133762,20,HOU,Points,demon,345,81.37,Weak,Weak,345
