proj_id,player_id,cbb_player_key,player,player_norm,team_abbr,opp_team_abbr,pp_team,pp_opp_team,pos,prop_type,prop_norm,pick_type,line,start_time,pp_game_id,league_id,team,stat_type,odds_type,opp_def_rank,opp_def_ppg,opp_def_tier,def_tier,OVERALL_DEF_RANK,team_id,espn_athlete_id,attach_status,stat_status,games_used,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,min_last5_avg,min_season_avg,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,model_dir_5
10511073,220076,rafael castro|GW,Rafael Castro,rafael castro,GW,FOR,GW,FOR,C,Fantasy Score,fantasy,Standard,35.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Fantasy Score,standard,12,64.68,,,12,45,4684443,OK_TEAM,OK,15.0,43.6,45.4,29.200000000000003,35.9,52.099999999999994,29.0,40.4,47.2,48.8,25.9,41.24,39.75,40.233,31.4,29.3,4.0,1.0,0.0,0.8,0.2,0.8,0.2,7.0,3.0,0.0,0.7,0.3,0.7,0.3,OVER
10511071,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Fantasy Score,fantasy,Standard,31.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Fantasy Score,standard,,,,,,2230,5175415,OK_TEAM,OK,21.0,23.3,33.2,34.6,31.799999999999997,41.4,43.5,19.1,28.8,40.8,38.0,32.86,33.45,33.171,33.8,35.0,4.0,1.0,0.0,0.8,0.2,0.8,0.2,7.0,3.0,0.0,0.7,0.3,0.7,0.3,OVER
10496508,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Pts+Rebs+Asts,pra,Standard,26.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Pts+Rebs+Asts,standard,,,,,,2230,5175415,OK_TEAM,OK,21.0,22.0,26.0,33.0,27.0,33.0,27.0,15.0,22.0,29.0,30.0,28.2,26.4,26.333,33.8,35.0,3.0,2.0,0.0,0.6,0.4,0.6,0.4,6.0,4.0,0.0,0.6,0.4,0.6,0.4,OVER
10496521,220076,rafael castro|GW,Rafael Castro,rafael castro,GW,FOR,GW,FOR,C,Pts+Rebs+Asts,pra,Standard,26.5,2026-03-12T11:30:00.000-04:00,142198,20,GW,Pts+Rebs+Asts,standard,12,64.68,,,12,45,4684443,OK_TEAM,OK,15.0,24.0,29.0,24.0,26.0,31.0,18.0,29.0,41.0,30.0,18.0,26.8,27.0,26.933,31.4,29.3,2.0,3.0,0.0,0.4,0.6,0.4,0.6,5.0,5.0,0.0,0.5,0.5,0.5,0.5,UNDER
10511072,306602,rikus schulte|FOR,Rikus Schulte,rikus schulte,FOR,GW,FOR,GW,F,Fantasy Score,fantasy,Standard,26.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Fantasy Score,standard,,,,,,2230,5174571,OK_TEAM,OK,21.0,36.1,36.2,29.9,35.3,7.1,26.799999999999997,33.6,17.5,27.2,33.0,28.92,28.27,27.29,32.2,31.1,4.0,1.0,0.0,0.8,0.2,0.8,0.2,8.0,2.0,0.0,0.8,0.2,0.8,0.2,OVER
10507482,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Pts+Rebs,pr,Standard,23.0,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Pts+Rebs,standard,,,,,,2230,5175415,OK_TEAM,OK,21.0,21.0,24.0,25.0,25.0,31.0,24.0,14.0,16.0,25.0,24.0,25.2,22.9,22.714,33.8,35.0,4.0,1.0,0.0,0.8,0.2,0.8,0.2,7.0,3.0,0.0,0.7,0.3,0.7,0.3,OVER
10496507,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Pts+Rebs,pr,Standard,22.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Pts+Rebs,standard,,,,,,2230,5175415,OK_TEAM,OK,21.0,21.0,24.0,25.0,25.0,31.0,24.0,14.0,16.0,25.0,24.0,25.2,22.9,22.714,33.8,35.0,4.0,1.0,0.0,0.8,0.2,0.8,0.2,7.0,3.0,0.0,0.7,0.3,0.7,0.3,OVER
10507445,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Pts+Asts,pa,Standard,22.0,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Pts+Asts,standard,,,,,,2230,5175415,OK_TEAM,OK,21.0,18.0,20.0,30.0,23.0,26.0,22.0,12.0,18.0,25.0,25.0,23.4,21.9,22.143,33.8,35.0,3.0,2.0,0.0,0.6,0.4,0.6,0.4,5.0,4.0,1.0,0.5,0.4,0.556,0.444,OVER
10496527,306602,rikus schulte|FOR,Rikus Schulte,rikus schulte,FOR,GW,FOR,GW,F,Pts+Rebs+Asts,pra,Standard,20.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Pts+Rebs+Asts,standard,,,,,,2230,5174571,OK_TEAM,OK,21.0,28.0,31.0,16.0,21.0,5.0,26.0,27.0,12.0,17.0,21.0,20.2,20.4,20.952,32.2,31.1,3.0,2.0,0.0,0.6,0.4,0.6,0.4,6.0,4.0,0.0,0.6,0.4,0.6,0.4,OVER
10496505,297742,dejour reaves|FOR,Dejour Reaves,dejour reaves,FOR,GW,FOR,GW,G,Points,pts,Standard,18.5,2026-03-12T11:30:00.000-04:00,142198,20,FOR,Points,standard,,,,,,2230,5175415,OK_TEAM,OK,21.0,17.0,18.0,22.0,21.0,24.0,19.0,11.0,12.0,21.0,19.0,20.4,18.4,18.524,33.8,35.0,3.0,2.0,0.0,0.6,0.4,0.6,0.4,6.0,4.0,0.0,0.6,0.4,0.6,0.4,OVER
