proj_id,player_id,cbb_player_key,player,player_norm,team_abbr,opp_team_abbr,pp_team,pp_opp_team,pos,prop_type,prop_norm,pick_type,line,start_time,pp_game_id,league_id,team,stat_type,odds_type,opp_def_rank,opp_def_ppg,opp_def_tier,def_tier,OVERALL_DEF_RANK,team_id,espn_athlete_id,attach_status,stat_status,games_used,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,min_last5_avg,min_season_avg,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,model_dir_5
10250255,292115,alfred worrell|MORG,Alfred Worrell,alfred worrell,MORG,NORF,MORG,NORF,G,Points,pts,Standard,18.5,2026-03-02T18:00:00.000-05:00,132399,20,MORG,Points,standard,,,,,,2415,5240664,OK_TEAM,OK,20,6.0,23.0,25.0,13.0,24.0,24.0,33.0,23.0,23.0,6.0,18.2,20.0,18.35,32.6,28.4,3,2,0,0.6,0.4,0.6,0.4,7,3,0,0.7,0.3,0.7,0.3,OVER
10250259,304095,anthony mccomb|NORF,Anthony McComb,anthony mccomb,NORF,MORG,NORF,MORG,G,Points,pts,Standard,17.5,2026-03-02T18:00:00.000-05:00,132399,20,NORF,Points,standard,,,,,,2450,5108049,OK_TEAM,OK,20,22.0,24.0,17.0,19.0,8.0,11.0,14.0,29.0,25.0,19.0,18.0,18.8,16.85,34.4,34.5,3,2,0,0.6,0.4,0.6,0.4,6,4,0,0.6,0.4,0.6,0.4,OVER
10250261,304097,elijah jamison|NORF,Elijah Jamison,elijah jamison,NORF,MORG,NORF,MORG,G,Points,pts,Standard,12.5,2026-03-02T18:00:00.000-05:00,132399,20,NORF,Points,standard,,,,,,2450,5106767,OK_TEAM,OK,20,12.0,11.0,6.0,12.0,28.0,9.0,13.0,16.0,12.0,14.0,13.8,13.3,14.85,25.4,27.6,1,4,0,0.2,0.8,0.2,0.8,4,6,0,0.4,0.6,0.4,0.6,UNDER
10250257,292112,rob lawson|MORG,Rob Lawson,rob lawson,MORG,NORF,MORG,NORF,G,Points,pts,Standard,11.0,2026-03-02T18:00:00.000-05:00,132399,20,MORG,Points,standard,,,,,,2415,5107977,OK_TEAM,OK,20,5.0,14.0,9.0,5.0,9.0,11.0,9.0,24.0,16.0,13.0,8.4,11.5,12.65,32.0,32.6,1,4,0,0.2,0.8,0.2,0.8,4,5,1,0.4,0.5,0.444,0.556,UNDER
10250260,304096,devon ellis|NORF,Devon Ellis,devon ellis,NORF,MORG,NORF,MORG,F,Points,pts,Standard,11.0,2026-03-02T18:00:00.000-05:00,132399,20,NORF,Points,standard,,,,,,2450,5178891,OK_TEAM,OK,20,10.0,9.0,17.0,17.0,7.0,6.0,11.0,19.0,15.0,13.0,12.0,12.4,10.65,29.6,27.9,2,3,0,0.4,0.6,0.4,0.6,5,4,1,0.5,0.4,0.556,0.444,UNDER
10250256,304093,eugene alvin|MORG,Eugene Alvin,eugene alvin,MORG,NORF,MORG,NORF,F,Points,pts,Standard,8.0,2026-03-02T18:00:00.000-05:00,132399,20,MORG,Points,standard,,,,,,2415,5314182,OK_TEAM,OK,19,18.0,20.0,19.0,2.0,0.0,13.0,4.0,5.0,0.0,6.0,11.8,8.7,7.895,19.2,19.6,3,2,0,0.6,0.4,0.6,0.4,4,6,0,0.4,0.6,0.4,0.6,OVER
10250258,304094,walter peggs|MORG,Walter Peggs,walter peggs,MORG,NORF,MORG,NORF,G,Points,pts,Standard,8.0,2026-03-02T18:00:00.000-05:00,132399,20,MORG,Points,standard,,,,,,2415,5110002,OK_TEAM,OK,18,7.0,9.0,5.0,13.0,8.0,18.0,0.0,0.0,11.0,29.0,8.4,10.0,8.111,16.2,18.2,2,2,1,0.4,0.4,0.5,0.5,5,4,1,0.5,0.4,0.556,0.444,OVER
10250270,292115,alfred worrell|MORG,Alfred Worrell,alfred worrell,MORG,NORF,MORG,NORF,G,Rebounds,reb,Standard,4.5,2026-03-02T18:00:00.000-05:00,132399,20,MORG,Rebounds,standard,,,,,,2415,5240664,OK_TEAM,OK,20,5.0,6.0,5.0,6.0,3.0,5.0,3.0,1.0,4.0,4.0,5.0,4.2,3.95,32.6,28.4,4,1,0,0.8,0.2,0.8,0.2,5,5,0,0.5,0.5,0.5,0.5,OVER
10250272,304096,devon ellis|NORF,Devon Ellis,devon ellis,NORF,MORG,NORF,MORG,F,Rebounds,reb,Standard,4.5,2026-03-02T18:00:00.000-05:00,132399,20,NORF,Rebounds,standard,,,,,,2450,5178891,OK_TEAM,OK,20,6.0,2.0,6.0,6.0,3.0,0.0,7.0,3.0,3.0,1.0,4.6,3.7,4.1,29.6,27.9,3,2,0,0.6,0.4,0.6,0.4,4,6,0,0.4,0.6,0.4,0.6,OVER
10250271,292112,rob lawson|MORG,Rob Lawson,rob lawson,MORG,NORF,MORG,NORF,G,Rebounds,reb,Standard,3.5,2026-03-02T18:00:00.000-05:00,132399,20,MORG,Rebounds,standard,,,,,,2415,5107977,OK_TEAM,OK,20,3.0,3.0,4.0,6.0,2.0,4.0,4.0,4.0,4.0,1.0,3.6,3.5,3.2,32.0,32.6,2,3,0,0.4,0.6,0.4,0.6,6,4,0,0.6,0.4,0.6,0.4,UNDER
