proj_id,player_id,player,team,pp_team,pp_opp_team,pp_game_id,pos,stat_type,line,odds_type,start_time,league_id
10092548,278458,Hannes Steinbach,WASH,WASH,RUTG,130229,F,Pts+Rebs+Asts,36.5,demon,2026-02-24T18:30:00.000-05:00,20
10092547,278458,Hannes Steinbach,WASH,WASH,RUTG,130229,F,Pts+Rebs+Asts,34.5,demon,2026-02-24T18:30:00.000-05:00,20
10092549,278458,Hannes Steinbach,WASH,WASH,RUTG,130229,F,Pts+Rebs+Asts,32.5,demon,2026-02-24T18:30:00.000-05:00,20
10092189,278458,Hannes Steinbach,WASH,WASH,RUTG,130229,F,Pts+Rebs+Asts,30.5,standard,2026-02-24T18:30:00.000-05:00,20
10092188,278458,Hannes Steinbach,WASH,WASH,RUTG,130229,F,Pts+Rebs,28.5,standard,2026-02-24T18:30:00.000-05:00,20
10092550,278458,Hannes Steinbach,WASH,WASH,RUTG,130229,F,Pts+Rebs+Asts,28.5,goblin,2026-02-24T18:30:00.000-05:00,20
10082971,278821,Tariq Francis,RUTG,RUTG,WASH,130229,G,Points,25.5,demon,2026-02-24T18:30:00.000-05:00,20
10092544,278458,Hannes Steinbach,WASH,WASH,RUTG,130229,F,Points,24.5,demon,2026-02-24T18:30:00.000-05:00,20
10082969,278821,Tariq Francis,RUTG,RUTG,WASH,130229,G,Points,23.5,demon,2026-02-24T18:30:00.000-05:00,20
10092567,278462,Wesley Yates,WASH,WASH,RUTG,130229,G,Pts+Rebs+Asts,23.5,demon,2026-02-24T18:30:00.000-05:00,20
10081906,278821,Tariq Francis,RUTG,RUTG,WASH,130229,G,Pts+Rebs,22.5,standard,2026-02-24T18:30:00.000-05:00,20
10092543,278458,Hannes Steinbach,WASH,WASH,RUTG,130229,F,Points,22.5,demon,2026-02-24T18:30:00.000-05:00,20
10082970,278821,Tariq Francis,RUTG,RUTG,WASH,130229,G,Points,21.5,demon,2026-02-24T18:30:00.000-05:00,20
10092566,278462,Wesley Yates,WASH,WASH,RUTG,130229,G,Pts+Rebs+Asts,21.5,demon,2026-02-24T18:30:00.000-05:00,20
10092576,220988,Zoom Diallo,WASH,WASH,RUTG,130229,G,Points,21.5,demon,2026-02-24T18:30:00.000-05:00,20
10092187,278458,Hannes Steinbach,WASH,WASH,RUTG,130229,F,Pts+Asts,20.5,standard,2026-02-24T18:30:00.000-05:00,20
10092545,278458,Hannes Steinbach,WASH,WASH,RUTG,130229,F,Points,20.5,demon,2026-02-24T18:30:00.000-05:00,20
10081905,278821,Tariq Francis,RUTG,RUTG,WASH,130229,G,Points,19.5,standard,2026-02-24T18:30:00.000-05:00,20
