proj_id,player_id,cbb_player_key,player,player_norm,team_abbr,opp_team_abbr,pp_team,pp_opp_team,pos,prop_type,prop_norm,pick_type,line,start_time,pp_game_id,league_id,team,stat_type,odds_type,opp_def_rank,opp_def_ppg,opp_def_tier,def_tier,OVERALL_DEF_RANK
10181396,291528,peter suder|M-OH,Peter Suder,peter suder,M-OH,WMU,M-OH,WMU,G,Pts+Rebs+Asts,pra,Standard,23.5,2026-02-27T18:00:00.000-05:00,131646,20,M-OH,Pts+Rebs+Asts,standard,329,79.85,Weak,Weak,329
10181395,291507,luke skaljac|M-OH,Luke Skaljac,luke skaljac,M-OH,WMU,M-OH,WMU,G,Pts+Rebs+Asts,pra,Standard,18.5,2026-02-27T18:00:00.000-05:00,131646,20,M-OH,Pts+Rebs+Asts,standard,329,79.85,Weak,Weak,329
10181245,303504,justice williams|WMU,Justice Williams,justice williams,WMU,M-OH,WMU,M-OH,G,Points,pts,Standard,14.5,2026-02-27T18:00:00.000-05:00,131646,20,WMU,Points,standard,,,,,
10181246,291504,brant byers|M-OH,Brant Byers,brant byers,M-OH,WMU,M-OH,WMU,F,Points,pts,Standard,13.5,2026-02-27T18:00:00.000-05:00,131646,20,M-OH,Points,standard,329,79.85,Weak,Weak,329
10181247,291528,peter suder|M-OH,Peter Suder,peter suder,M-OH,WMU,M-OH,WMU,G,Points,pts,Standard,13.5,2026-02-27T18:00:00.000-05:00,131646,20,M-OH,Points,standard,329,79.85,Weak,Weak,329
10181248,303505,jayden brewer|WMU,Jayden Brewer,jayden brewer,WMU,M-OH,WMU,M-OH,G,Points,pts,Standard,12.5,2026-02-27T18:00:00.000-05:00,131646,20,WMU,Points,standard,,,,,
10181249,220286,eian elmer|M-OH,Eian Elmer,eian elmer,M-OH,WMU,M-OH,WMU,F,Points,pts,Standard,11.5,2026-02-27T18:00:00.000-05:00,131646,20,M-OH,Points,standard,329,79.85,Weak,Weak,329
10181250,291502,almar atlason|M-OH,Almar Atlason,almar atlason,M-OH,WMU,M-OH,WMU,F,Points,pts,Standard,10.0,2026-02-27T18:00:00.000-05:00,131646,20,M-OH,Points,standard,329,79.85,Weak,Weak,329
10181252,291507,luke skaljac|M-OH,Luke Skaljac,luke skaljac,M-OH,WMU,M-OH,WMU,G,Points,pts,Standard,10.0,2026-02-27T18:00:00.000-05:00,131646,20,M-OH,Points,standard,329,79.85,Weak,Weak,329
10181251,300723,antwone woolfolk|M-OH,Antwone Woolfolk,antwone woolfolk,M-OH,WMU,M-OH,WMU,F,Points,pts,Standard,9.5,2026-02-27T18:00:00.000-05:00,131646,20,M-OH,Points,standard,329,79.85,Weak,Weak,329
10181254,303507,ej ryans|WMU,EJ Ryans,ej ryans,WMU,M-OH,WMU,M-OH,G,Points,pts,Standard,8.5,2026-02-27T18:00:00.000-05:00,131646,20,WMU,Points,standard,,,,,
10181253,303506,trey lewis|WMU,Trey Lewis,trey lewis,WMU,M-OH,WMU,M-OH,G,Points,pts,Standard,7.5,2026-02-27T18:00:00.000-05:00,131646,20,WMU,Points,standard,,,,,
10181342,303505,jayden brewer|WMU,Jayden Brewer,jayden brewer,WMU,M-OH,WMU,M-OH,G,Rebounds,reb,Standard,6.5,2026-02-27T18:00:00.000-05:00,131646,20,WMU,Rebounds,standard,,,,,
10181341,220286,eian elmer|M-OH,Eian Elmer,eian elmer,M-OH,WMU,M-OH,WMU,F,Rebounds,reb,Standard,6.0,2026-02-27T18:00:00.000-05:00,131646,20,M-OH,Rebounds,standard,329,79.85,Weak,Weak,329
10181399,303508,max burton|WMU,Max Burton,max burton,WMU,M-OH,WMU,M-OH,F,Points,pts,Standard,6.0,2026-02-27T18:00:00.000-05:00,131646,20,WMU,Points,standard,,,,,
10181339,300723,antwone woolfolk|M-OH,Antwone Woolfolk,antwone woolfolk,M-OH,WMU,M-OH,WMU,F,Rebounds,reb,Standard,5.0,2026-02-27T18:00:00.000-05:00,131646,20,M-OH,Rebounds,standard,329,79.85,Weak,Weak,329
10181259,291507,luke skaljac|M-OH,Luke Skaljac,luke skaljac,M-OH,WMU,M-OH,WMU,G,Assists,ast,Standard,4.5,2026-02-27T18:00:00.000-05:00,131646,20,M-OH,Assists,standard,329,79.85,Weak,Weak,329
10181340,291504,brant byers|M-OH,Brant Byers,brant byers,M-OH,WMU,M-OH,WMU,F,Rebounds,reb,Standard,4.0,2026-02-27T18:00:00.000-05:00,131646,20,M-OH,Rebounds,standard,329,79.85,Weak,Weak,329
10181394,291528,peter suder|M-OH,Peter Suder,peter suder,M-OH,WMU,M-OH,WMU,G,Assists,ast,Standard,4.0,2026-02-27T18:00:00.000-05:00,131646,20,M-OH,Assists,standard,329,79.85,Weak,Weak,329
10176119,179828,trey autry|GW,Trey Autry,trey autry,GW,DAY,GW,DAY,G,Points,pts,Standard,10.5,2026-02-27T19:00:00.000-05:00,131135,20,GW,Points,standard,101,71.04,Above Avg,Above Avg,101
10176260,220076,rafael castro|GW,Rafael Castro,rafael castro,GW,DAY,GW,DAY,C,Fantasy Score,fantasy,Standard,34.5,2026-02-27T19:00:00.000-05:00,131135,20,GW,Fantasy Score,standard,101,71.04,Above Avg,Above Avg,101
10174346,226890,amael l etang|DAY,Amaël L'Etang,amael l etang,DAY,GW,DAY,GW,F,Pts+Rebs+Asts,pra,Demon,29.5,2026-02-27T19:00:00.000-05:00,131135,20,DAY,Pts+Rebs+Asts,demon,,,,,
10174388,177695,javon bennett|DAY,Javon Bennett,javon bennett,DAY,GW,DAY,GW,G,Pts+Rebs+Asts,pra,Demon,28.5,2026-02-27T19:00:00.000-05:00,131135,20,DAY,Pts+Rebs+Asts,demon,,,,,
10176257,226890,amael l etang|DAY,Amaël L'Etang,amael l etang,DAY,GW,DAY,GW,F,Fantasy Score,fantasy,Standard,28.5,2026-02-27T19:00:00.000-05:00,131135,20,DAY,Fantasy Score,standard,,,,,
10176259,177695,javon bennett|DAY,Javon Bennett,javon bennett,DAY,GW,DAY,GW,G,Fantasy Score,fantasy,Standard,28.0,2026-02-27T19:00:00.000-05:00,131135,20,DAY,Fantasy Score,standard,,,,,
10174345,226890,amael l etang|DAY,Amaël L'Etang,amael l etang,DAY,GW,DAY,GW,F,Pts+Rebs+Asts,pra,Demon,27.5,2026-02-27T19:00:00.000-05:00,131135,20,DAY,Pts+Rebs+Asts,demon,,,,,
10174386,177695,javon bennett|DAY,Javon Bennett,javon bennett,DAY,GW,DAY,GW,G,Pts+Rebs+Asts,pra,Demon,26.5,2026-02-27T19:00:00.000-05:00,131135,20,DAY,Pts+Rebs+Asts,demon,,,,,
10174347,226890,amael l etang|DAY,Amaël L'Etang,amael l etang,DAY,GW,DAY,GW,F,Pts+Rebs+Asts,pra,Demon,25.5,2026-02-27T19:00:00.000-05:00,131135,20,DAY,Pts+Rebs+Asts,demon,,,,,
10176132,220076,rafael castro|GW,Rafael Castro,rafael castro,GW,DAY,GW,DAY,C,Pts+Rebs+Asts,pra,Standard,25.5,2026-02-27T19:00:00.000-05:00,131135,20,GW,Pts+Rebs+Asts,standard,101,71.04,Above Avg,Above Avg,101
10174365,279139,de shayne montgomery|DAY,De'Shayne Montgomery,de shayne montgomery,DAY,GW,DAY,GW,G,Pts+Rebs+Asts,pra,Demon,24.5,2026-02-27T19:00:00.000-05:00,131135,20,DAY,Pts+Rebs+Asts,demon,,,,,
10174387,177695,javon bennett|DAY,Javon Bennett,javon bennett,DAY,GW,DAY,GW,G,Pts+Rebs+Asts,pra,Demon,24.5,2026-02-27T19:00:00.000-05:00,131135,20,DAY,Pts+Rebs+Asts,demon,,,,,
10176258,279139,de shayne montgomery|DAY,De'Shayne Montgomery,de shayne montgomery,DAY,GW,DAY,GW,G,Fantasy Score,fantasy,Standard,24.5,2026-02-27T19:00:00.000-05:00,131135,20,DAY,Fantasy Score,standard,,,,,
10176296,220076,rafael castro|GW,Rafael Castro,rafael castro,GW,DAY,GW,DAY,C,Pts+Rebs,pr,Standard,24.5,2026-02-27T19:00:00.000-05:00,131135,20,GW,Pts+Rebs,standard,101,71.04,Above Avg,Above Avg,101
10174245,226890,amael l etang|DAY,Amaël L'Etang,amael l etang,DAY,GW,DAY,GW,F,Pts+Rebs+Asts,pra,Standard,23.5,2026-02-27T19:00:00.000-05:00,131135,20,DAY,Pts+Rebs+Asts,standard,,,,,
10174262,177695,javon bennett|DAY,Javon Bennett,javon bennett,DAY,GW,DAY,GW,G,Pts+Rebs+Asts,pra,Standard,22.5,2026-02-27T19:00:00.000-05:00,131135,20,DAY,Pts+Rebs+Asts,standard,,,,,
10174363,279139,de shayne montgomery|DAY,De'Shayne Montgomery,de shayne montgomery,DAY,GW,DAY,GW,G,Pts+Rebs+Asts,pra,Demon,22.5,2026-02-27T19:00:00.000-05:00,131135,20,DAY,Pts+Rebs+Asts,demon,,,,,
