proj_id,player_id,cbb_player_key,player,player_norm,team_abbr,opp_team_abbr,pp_team,pp_opp_team,pos,prop_type,prop_norm,pick_type,line,start_time,pp_game_id,league_id,team,stat_type,odds_type,team_id,espn_athlete_id,status,stat_status,games_used,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,min_last5_avg,min_season_avg,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,model_dir_5
9985133,301622,gus yalden|UVM,Gus Yalden,gus yalden,UVM,UMBC,UVM,UMBC,F,Points,pts,Standard,15.5,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Points,standard,261,,NO_ATHLETE_MATCH,OK,10.0,27.0,18.0,16.0,12.0,12.0,8.0,14.0,14.0,21.0,8.0,17.0,15.0,15.0,28.8,27.1,3.0,2.0,0.0,0.6,0.4,0.6,0.4,4.0,6.0,0.0,0.4,0.6,0.4,0.6,OVER
9985135,126384,tj hurley|UVM,TJ Hurley,tj hurley,UVM,UMBC,UVM,UMBC,G,Points,pts,Standard,15.0,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Points,standard,261,,NO_ATHLETE_MATCH,OK,10.0,19.0,13.0,13.0,27.0,16.0,18.0,26.0,30.0,15.0,18.0,17.6,19.5,19.5,30.2,31.2,3.0,2.0,0.0,0.6,0.4,0.6,0.4,7.0,2.0,1.0,0.7,0.2,0.778,0.222,OVER
9985130,285758,dj armstrong|UMBC,DJ Armstrong,dj armstrong,UMBC,UVM,UMBC,UVM,G-F,Points,pts,Standard,12.5,2026-02-19T18:00:00.000-05:00,128578,20,UMBC,Points,standard,2378,,NO_ATHLETE_MATCH,NO_BOX_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9985131,285760,jah likai king|UMBC,Jah'Likai King,jah likai king,UMBC,UVM,UMBC,UVM,G,Points,pts,Standard,12.5,2026-02-19T18:00:00.000-05:00,128578,20,UMBC,Points,standard,2378,,NO_ATHLETE_MATCH,OK,10.0,17.0,4.0,13.0,4.0,8.0,10.0,17.0,21.0,12.0,15.0,9.2,12.1,12.1,29.6,32.3,2.0,3.0,0.0,0.4,0.6,0.4,0.6,5.0,5.0,0.0,0.5,0.5,0.5,0.5,UNDER
9985128,301619,ace valentine|UMBC,Ace Valentine,ace valentine,UMBC,UVM,UMBC,UVM,G,Points,pts,Standard,11.0,2026-02-19T18:00:00.000-05:00,128578,20,UMBC,Points,standard,2378,,NO_ATHLETE_MATCH,OK,10.0,10.0,16.0,12.0,15.0,5.0,9.0,19.0,13.0,7.0,12.0,11.6,11.8,11.8,32.6,34.3,3.0,2.0,0.0,0.6,0.4,0.6,0.4,6.0,4.0,0.0,0.6,0.4,0.6,0.4,OVER
9985129,301620,caden diggs|UMBC,Caden Diggs,caden diggs,UMBC,UVM,UMBC,UVM,F,Points,pts,Standard,11.0,2026-02-19T18:00:00.000-05:00,128578,20,UMBC,Points,standard,2378,,NO_ATHLETE_MATCH,OK,10.0,15.0,15.0,7.0,10.0,14.0,2.0,12.0,14.0,14.0,10.0,12.2,11.3,11.3,22.8,23.5,3.0,2.0,0.0,0.6,0.4,0.6,0.4,6.0,4.0,0.0,0.6,0.4,0.6,0.4,OVER
9985134,301623,sean blake|UVM,Sean Blake,sean blake,UVM,UMBC,UVM,UMBC,G,Points,pts,Standard,10.0,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Points,standard,261,,NO_ATHLETE_MATCH,OK,10.0,10.0,11.0,11.0,4.0,23.0,5.0,9.0,8.0,11.0,17.0,11.8,10.9,10.9,32.2,31.3,3.0,1.0,1.0,0.6,0.2,0.75,0.25,5.0,4.0,1.0,0.5,0.4,0.556,0.444,OVER
9985136,177495,tj long|UVM,TJ Long,tj long,UVM,UMBC,UVM,UMBC,G,Points,pts,Standard,9.5,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Points,standard,261,,NO_ATHLETE_MATCH,OK,6.0,14.0,8.0,3.0,13.0,7.0,3.0,,,,,9.0,8.0,8.0,23.2,25.0,2.0,3.0,0.0,0.4,0.6,0.4,0.6,2.0,4.0,0.0,0.333,0.667,0.333,0.667,UNDER
9985132,301621,josh odunowo|UMBC,Josh Odunowo,josh odunowo,UMBC,UVM,UMBC,UVM,F,Points,pts,Standard,8.0,2026-02-19T18:00:00.000-05:00,128578,20,UMBC,Points,standard,2378,,NO_ATHLETE_MATCH,OK,10.0,12.0,12.0,15.0,6.0,4.0,17.0,12.0,5.0,3.0,6.0,9.8,9.2,9.2,22.8,22.9,3.0,2.0,0.0,0.6,0.4,0.6,0.4,5.0,5.0,0.0,0.5,0.5,0.5,0.5,OVER
9985139,301622,gus yalden|UVM,Gus Yalden,gus yalden,UVM,UMBC,UVM,UMBC,F,Rebounds,reb,Standard,6.0,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Rebounds,standard,261,,NO_ATHLETE_MATCH,OK,10.0,6.0,9.0,8.0,5.0,7.0,3.0,3.0,8.0,8.0,11.0,7.0,6.8,6.8,28.8,27.1,3.0,1.0,1.0,0.6,0.2,0.75,0.25,6.0,3.0,1.0,0.6,0.3,0.667,0.333,OVER
9985138,301621,josh odunowo|UMBC,Josh Odunowo,josh odunowo,UMBC,UVM,UMBC,UVM,F,Rebounds,reb,Standard,5.0,2026-02-19T18:00:00.000-05:00,128578,20,UMBC,Rebounds,standard,2378,,NO_ATHLETE_MATCH,OK,10.0,5.0,8.0,8.0,2.0,1.0,5.0,5.0,3.0,6.0,2.0,4.8,4.5,4.5,22.8,22.9,2.0,2.0,1.0,0.4,0.4,0.5,0.5,3.0,4.0,3.0,0.3,0.4,0.429,0.571,OVER
9985141,177495,tj long|UVM,TJ Long,tj long,UVM,UMBC,UVM,UMBC,G,Rebounds,reb,Standard,5.0,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Rebounds,standard,261,,NO_ATHLETE_MATCH,OK,6.0,5.0,5.0,1.0,4.0,1.0,9.0,,,,,3.2,4.167,4.167,23.2,25.0,0.0,3.0,2.0,0.0,0.6,0.0,1.0,1.0,3.0,2.0,0.167,0.5,0.25,0.75,UNDER
9985140,301623,sean blake|UVM,Sean Blake,sean blake,UVM,UMBC,UVM,UMBC,G,Rebounds,reb,Standard,4.5,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Rebounds,standard,261,,NO_ATHLETE_MATCH,OK,10.0,5.0,3.0,3.0,5.0,8.0,10.0,4.0,2.0,6.0,2.0,4.8,4.8,4.8,32.2,31.3,3.0,2.0,0.0,0.6,0.4,0.6,0.4,5.0,5.0,0.0,0.5,0.5,0.5,0.5,OVER
9985137,301623,sean blake|UVM,Sean Blake,sean blake,UVM,UMBC,UVM,UMBC,G,Assists,ast,Standard,4.0,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Assists,standard,261,,NO_ATHLETE_MATCH,OK,10.0,7.0,2.0,7.0,2.0,4.0,5.0,4.0,3.0,4.0,6.0,4.4,4.4,4.4,32.2,31.3,2.0,2.0,1.0,0.4,0.4,0.5,0.5,4.0,3.0,3.0,0.4,0.3,0.571,0.429,OVER
9987587,279010,sincere parker|MEM,Sincere Parker,sincere parker,MEM,USF,MEM,USF,G,Pts+Rebs+Asts,pra,Standard,21.5,2026-02-19T19:00:00.000-05:00,128583,20,MEM,Pts+Rebs+Asts,standard,235,,NO_ATHLETE_MATCH,OK,10.0,31.0,23.0,15.0,48.0,14.0,29.0,0.0,25.0,18.0,4.0,26.2,20.7,20.7,23.8,20.1,3.0,2.0,0.0,0.6,0.4,0.6,0.4,5.0,5.0,0.0,0.5,0.5,0.5,0.5,OVER
9986710,278348,aaron bradshaw|MEM,Aaron Bradshaw,aaron bradshaw,MEM,USF,MEM,USF,F,Points,pts,Standard,10.0,2026-02-19T19:00:00.000-05:00,128583,20,MEM,Points,standard,235,,NO_ATHLETE_MATCH,OK,10.0,7.0,8.0,16.0,12.0,12.0,15.0,10.0,12.0,4.0,21.0,11.0,11.7,11.7,22.6,22.1,3.0,2.0,0.0,0.6,0.4,0.6,0.4,6.0,3.0,1.0,0.6,0.3,0.667,0.333,OVER
9987650,279010,sincere parker|MEM,Sincere Parker,sincere parker,MEM,USF,MEM,USF,G,Rebs+Asts,ra,Standard,5.5,2026-02-19T19:00:00.000-05:00,128583,20,MEM,Rebs+Asts,standard,235,,NO_ATHLETE_MATCH,OK,10.0,10.0,3.0,4.0,8.0,5.0,8.0,0.0,3.0,8.0,1.0,6.0,5.0,5.0,23.8,20.1,2.0,3.0,0.0,0.4,0.6,0.4,0.6,4.0,6.0,0.0,0.4,0.6,0.4,0.6,UNDER
9986760,278349,dug mcdaniel|MEM,Dug McDaniel,dug mcdaniel,MEM,USF,MEM,USF,G,Assists,ast,Standard,4.0,2026-02-19T19:00:00.000-05:00,128583,20,MEM,Assists,standard,235,,NO_ATHLETE_MATCH,OK,10.0,3.0,4.0,3.0,4.0,4.0,6.0,3.0,3.0,6.0,4.0,3.6,4.0,4.0,34.0,33.3,0.0,2.0,3.0,0.0,0.4,0.0,1.0,2.0,4.0,4.0,0.2,0.4,0.333,0.667,UNDER
