nba_player_id,team,player,espn_athlete_id,updated_at
1628973,NYK,Jalen Brunson,3934672,2026-03-08T15:14:31
1626157,NYK,Karl-Anthony Towns,3136195,2026-03-08T15:14:31
1630559,LAL,Austin Reaves,4066457,2026-03-08T15:14:31
1628384,NYK,OG Anunoby,3934719,2026-03-08T15:14:31
1628404,NYK,Josh Hart,3062679,2026-03-08T15:14:31
1628969,NYK,Mikal Bridges,3147657,2026-03-08T15:14:31
1629028,LAL,Deandre Ayton,4278129,2026-03-08T15:14:31
1629011,NYK,Mitchell Robinson,4351852,2026-03-08T15:14:32
203935,LAL,Marcus Smart,2990992,2026-03-08T15:14:32
1629060,LAL,Rui Hachimura,4066648,2026-03-08T15:14:32
1629013,NYK,Landry Shamet,3914044,2026-03-08T15:14:32
1628379,LAL,Luke Kennard,3913174,2026-03-08T15:14:32
1631222,LAL,Jake LaRavia,4592691,2026-03-08T15:14:33
1629637,LAL,Jaxson Hayes,4397077,2026-03-08T15:14:33
1630595,DET,Cade Cunningham,4432166,2026-03-08T15:14:35
1628389,MIA,Bam Adebayo,4066261,2026-03-08T15:14:35
1631105,DET,Jalen Duren,4433621,2026-03-08T15:14:35
1629639,MIA,Tyler Herro,4395725,2026-03-08T15:14:35
1631170,MIA,Jaime Jaquez,4432848,2026-03-08T15:14:35
1641796,MIA,Pelle Larsson,4601025,2026-03-08T15:14:35
1630567,TOR,Scottie Barnes,4433134,2026-03-08T15:14:35
1642843,DAL,Cooper Flagg,5041939,2026-03-08T15:14:35
1627742,TOR,Brandon Ingram,3913176,2026-03-08T15:14:35
1630193,TOR,Immanuel Quickley,4395724,2026-03-08T15:14:35
1629628,TOR,RJ Barrett,4395625,2026-03-08T15:14:35
1630230,DAL,Naji Marshall,4278594,2026-03-08T15:14:35
1630314,DAL,Brandon Williams,4397040,2026-03-08T15:14:35
203114,DAL,Khris Middleton,6609,2026-03-08T15:14:35
1642276,MIA,Kel'el Ware,5105623,2026-03-08T15:14:36
202699,DET,Tobias Harris,6440,2026-03-08T15:14:36
1629130,DET,Duncan Robinson,3157465,2026-03-08T15:14:36
1641842,DET,Ronald Holland,4683771,2026-03-08T15:14:36
1630558,MIA,Davion Mitchell,4278053,2026-03-08T15:14:36
1642066,MIA,Myron Gardner,4431772,2026-03-08T15:14:36
1642450,DET,Daniss Jenkins,5107199,2026-03-08T15:14:36
1627751,TOR,Jakob Poeltl,3134908,2026-03-08T15:14:40
1629023,DAL,P.J. Washington,4278078,2026-03-08T15:14:40
1628963,DAL,Marvin Bagley,4277848,2026-03-08T15:14:40
1631108,DAL,Max Christie,4432582,2026-03-08T15:14:40
1630572,TOR,Sandro Mamukelashvili,4278580,2026-03-08T15:14:40
1629655,DAL,Daniel Gafford,4278049,2026-03-08T15:14:41
1642347,TOR,Jamal Shead,4432241,2026-03-08T15:14:41
202691,DAL,Klay Thompson,6475,2026-03-08T15:14:41
1630530,NOP,Trey Murphy,4397688,2026-03-08T15:14:45
1629627,NOP,Zion Williamson,4395628,2026-03-08T15:14:45
1627749,NOP,Dejounte Murray,3907497,2026-03-08T15:14:45
1642259,WAS,Alex Sarr,5160992,2026-03-08T15:14:45
1630180,NOP,Saddiq Bey,4397136,2026-03-08T15:14:45
1629027,WAS,Trae Young,4277905,2026-03-08T15:14:45
1641731,WAS,Bilal Coulibaly,5104155,2026-03-08T15:14:45
1642852,NOP,Derik Queen,4869780,2026-03-08T15:14:45
1642860,WAS,Will Riley,5144126,2026-03-08T15:14:46
1642848,WAS,Tre Johnson,5238230,2026-03-08T15:14:46
1630529,NOP,Herbert Jones,4277813,2026-03-08T15:14:46
1642267,WAS,Bub Carrington,4845374,2026-03-08T15:14:46
1641778,WAS,Leaky Black,4395650,2026-03-08T15:14:49
1641705,SAS,Victor Wembanyama,5104157,2026-03-08T15:14:50
1630578,HOU,Alperen Sengun,4871144,2026-03-08T15:14:50
201142,HOU,Kevin Durant,3202,2026-03-08T15:14:50
1641708,HOU,Amen Thompson,4684740,2026-03-08T15:14:50
1642264,SAS,Stephon Castle,4845367,2026-03-08T15:14:50
1628368,SAS,De'Aaron Fox,4066259,2026-03-08T15:14:50
2074,HOU,Jabari Smith,4432639,2026-03-08T15:14:50
1642263,HOU,Reed Sheppard,4711272,2026-03-08T15:14:50
1630170,SAS,Devin Vassell,4395630,2026-03-08T15:14:50
1631106,HOU,Tari Eason,4433192,2026-03-08T15:14:50
1630577,SAS,Julian Champagnie,4592479,2026-03-08T15:14:50
1642844,SAS,Dylan Harper,5037871,2026-03-08T15:14:50
1631094,ORL,Paolo Banchero,4432573,2026-03-08T15:14:50
1631157,MIL,Ryan Rollins,4591725,2026-03-08T15:14:50
1630591,ORL,Jalen Suggs,4432165,2026-03-08T15:14:50
1630217,ORL,Desmond Bane,4066320,2026-03-08T15:14:50
1628976,ORL,Wendell Carter,4277847,2026-03-08T15:14:50
1626167,MIL,Myles Turner,3133628,2026-03-08T15:14:50
1629640,SAS,Keldon Johnson,4395723,2026-03-08T15:14:51
1628436,SAS,Luke Kornet,3064560,2026-03-08T15:14:53
1642868,SAS,Carter Bryant,5061568,2026-03-08T15:14:53
203991,HOU,Clint Capela,3102529,2026-03-08T15:14:53
1627827,HOU,Dorian Finney-Smith,2578185,2026-03-08T15:14:54
1628398,MIL,Kyle Kuzma,3134907,2026-03-08T15:14:57
1631172,MIL,Ousmane Dieng,4997526,2026-03-08T15:14:57
1631260,MIL,AJ Green,4397475,2026-03-08T15:14:57
1642270,POR,Donovan Clingan,5105565,2026-03-08T15:14:59
1630166,POR,Deni Avdija,4683021,2026-03-08T15:14:59
201950,POR,Jrue Holiday,3995,2026-03-08T15:14:59
1627783,IND,Pascal Siakam,3149673,2026-03-08T15:14:59
203924,POR,Jerami Grant,2991070,2026-03-08T15:14:59
1629614,IND,Andrew Nembhard,4395712,2026-03-08T15:14:59
1630643,IND,Jay Huff,4065731,2026-03-08T15:14:59
