team,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_wins,opp_gp,def_rank,def_tier
ANA,3.5,0.0,0.0,3.403,0.0,0.0,35,62,30,WEAK
BOS,3.145,0.0,0.0,3.355,0.0,0.0,35,62,18,AVERAGE
BUF,2.952,0.0,0.0,3.444,0.0,0.0,38,63,8,ELITE
CAR,2.905,0.0,0.0,3.556,0.0,0.0,40,63,7,ELITE
CBJ,3.194,0.0,0.0,3.226,0.0,0.0,32,62,20,AVERAGE
CGY,3.048,0.0,0.0,2.5,0.0,0.0,25,62,16,SOLID
CHI,3.242,0.0,0.0,2.677,0.0,0.0,23,62,23,AVERAGE
COL,2.508,0.0,0.0,3.852,0.0,0.0,42,61,1,ELITE
DAL,2.742,0.0,0.0,3.484,0.0,0.0,38,62,3,ELITE
DET,3.016,0.0,0.0,2.952,0.0,0.0,35,63,14,SOLID
EDM,3.429,0.0,0.0,3.54,0.0,0.0,30,63,27,WEAK
FLA,3.333,0.0,0.0,3.032,0.0,0.0,31,63,24,AVERAGE
LAK,3.0,0.0,0.0,2.629,0.0,0.0,25,62,13,SOLID
MIN,2.889,0.0,0.0,3.381,0.0,0.0,37,63,6,ELITE
MTL,3.371,0.0,0.0,3.581,0.0,0.0,34,62,25,WEAK
NJD,3.0,0.0,0.0,2.635,0.0,0.0,32,63,12,SOLID
NSH,3.429,0.0,0.0,2.968,0.0,0.0,28,63,28,WEAK
NYI,2.859,0.0,0.0,2.938,0.0,0.0,36,64,5,ELITE
NYR,3.194,0.0,0.0,2.726,0.0,0.0,24,62,22,AVERAGE
OTT,3.194,0.0,0.0,3.419,0.0,0.0,31,62,21,AVERAGE
PHI,3.129,0.0,0.0,2.919,0.0,0.0,29,62,17,AVERAGE
PIT,2.968,0.0,0.0,3.355,0.0,0.0,31,62,9,SOLID
SEA,3.0,0.0,0.0,2.855,0.0,0.0,29,62,11,SOLID
SJS,3.475,0.0,0.0,3.098,0.0,0.0,30,61,29,WEAK
STL,3.419,0.0,0.0,2.613,0.0,0.0,24,62,26,WEAK
TBL,2.689,0.0,0.0,3.541,0.0,0.0,39,61,2,ELITE
TOR,3.531,0.0,0.0,3.156,0.0,0.0,27,64,31,WEAK
UTA,2.746,0.0,0.0,3.19,0.0,0.0,34,63,4,ELITE
VAN,3.746,0.0,0.0,2.619,0.0,0.0,19,63,32,WEAK
VGK,3.19,0.0,0.0,3.286,0.0,0.0,29,63,19,AVERAGE
WPG,3.048,0.0,0.0,2.871,0.0,0.0,26,62,15,SOLID
WSH,3.0,0.0,0.0,3.125,0.0,0.0,31,64,10,SOLID
