assists_avg_L10,assists_avg_L20,assists_avg_L5,assists_avg_season,assists_games_played,blocked_shots_avg_L10,blocked_shots_avg_L20,blocked_shots_avg_L5,blocked_shots_avg_season,blocked_shots_games_played,fantasy_score_avg_L10,fantasy_score_avg_L20,fantasy_score_avg_L5,fantasy_score_avg_season,fantasy_score_games_played,games_fetched,goals_allowed_avg_L10,goals_allowed_avg_L20,goals_allowed_avg_L5,goals_allowed_avg_season,goals_allowed_games_played,goals_avg_L10,goals_avg_L20,goals_avg_L5,goals_avg_season,goals_games_played,hits_avg_L10,hits_avg_L20,hits_avg_L5,hits_avg_season,hits_games_played,last1_assists,last1_blocked_shots,last1_fantasy_score,last1_goals,last1_goals_allowed,last1_hits,last1_points,last1_save_pct,last1_saves,last1_shots_against,last1_shots_on_goal,last1_toi_min,last2_assists,last2_blocked_shots,last2_fantasy_score,last2_goals,last2_goals_allowed,last2_hits,last2_points,last2_save_pct,last2_saves,last2_shots_against,last2_shots_on_goal,last2_toi_min,last3_assists,last3_blocked_shots,last3_fantasy_score,last3_goals,last3_goals_allowed,last3_hits,last3_points,last3_save_pct,last3_saves,last3_shots_against,last3_shots_on_goal,last3_toi_min,nhl_player_id,player_role,points_avg_L10,points_avg_L20,points_avg_L5,points_avg_season,points_games_played,save_pct_avg_L10,save_pct_avg_L20,save_pct_avg_L5,save_pct_avg_season,save_pct_games_played,saves_avg_L10,saves_avg_L20,saves_avg_L5,saves_avg_season,saves_games_played,shots_against_avg_L10,shots_against_avg_L20,shots_against_avg_L5,shots_against_avg_season,shots_against_games_played,shots_on_goal_avg_L10,shots_on_goal_avg_L20,shots_on_goal_avg_L5,shots_on_goal_avg_season,shots_on_goal_games_played,toi_min_avg_L10,toi_min_avg_L20,toi_min_avg_L5,toi_min_avg_season,toi_min_games_played
,,,,,,,,,,-3.6,-2.25,-4.8,-2.9,30,30,2.2,1.95,2.4,2.1,30,,,,,,,,,,,,,-15.0,,5,,,0.0,0,5,,,,,3.0,,1,,,0.0,0,1,,,,,3.0,,1,,,0.0,0,1,,,8475683,GOALIE,,,,,,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,2.2,1.95,2.4,2.1,30,,,,,,,,,,
0.8,0.6,1.2,0.567,30,0.0,0.0,0.0,0.0,30,6.7,6.1,8.1,6.567,30,30,,,,,,0.0,0.05,0.0,0.067,30,0.0,0.0,0.0,0.0,30,1,0,5.0,0,,0,1,,,,0,22.85,1,0,6.5,0,,0,1,,,,1,23.95,1,0,6.5,0,,0,1,,,,1,24.95,8477932,SKATER,0.8,0.65,1.2,0.633,30,,,,,,,,,,,,,,,,1.8,1.8,1.4,2.133,30,24.215,23.542,23.73,23.678,30
0.2,0.5,0.4,0.6,30,0.0,0.0,0.0,0.0,30,10.15,10.125,10.4,10.133,30,30,,,,,,0.6,0.4,0.6,0.367,30,0.0,0.0,0.0,0.0,30,0,0,22.0,2,,0,2,,,,4,16.0,1,0,6.5,0,,0,1,,,,1,15.58,0,0,4.5,0,,0,0,,,,3,20.53,8477933,SKATER,0.8,0.9,1.0,0.967,30,,,,,,,,,,,,,,,,2.9,2.95,2.4,2.8,30,19.953,20.855,18.74,20.597,30
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8448071,SKATER,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.8,0.6,1.0,0.567,30,0.0,0.0,0.0,0.0,30,9.95,10.0,7.8,10.3,30,30,,,,,,0.5,0.5,0.2,0.533,30,0.0,0.0,0.0,0.0,30,2,0,10.0,0,,0,2,,,,0,20.65,0,0,4.5,0,,0,0,,,,3,21.05,0,0,0.0,0,,0,0,,,,0,20.57,8480002,SKATER,1.3,1.1,1.2,1.1,30,,,,,,,,,,,,,,,,1.3,2.0,0.8,2.133,30,20.672,20.652,19.444,20.341,30
0.2,0.1,0.2,0.233,30,0.0,0.0,0.0,0.0,30,7.4,4.775,7.7,5.667,30,30,,,,,,0.2,0.15,0.2,0.2,30,0.0,0.0,0.0,0.0,30,0,0,1.5,0,,0,0,,,,1,20.15,0,0,1.5,0,,0,0,,,,1,14.77,1,0,14.0,0,,0,1,,,,6,14.88,8482113,SKATER,0.4,0.25,0.4,0.433,30,,,,,,,,,,,,,,,,3.2,2.05,3.4,1.933,30,17.531,16.623,17.78,16.33,30
0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,2.45,2.625,1.5,3.15,30,30,,,,,,0.1,0.15,0.0,0.2,30,0.0,0.0,0.0,0.0,30,0,0,1.5,0,,0,0,,,,1,5.7,0,0,3.0,0,,0,0,,,,2,11.52,0,0,1.5,0,,0,0,,,,1,12.35,8481032,SKATER,0.1,0.15,0.0,0.2,30,,,,,,,,,,,,,,,,1.1,0.95,1.0,1.033,30,11.767,11.692,10.468,12.441,30
0.2,0.2,0.4,0.233,30,0.0,0.0,0.0,0.0,30,10.75,10.025,12.6,9.067,30,30,,,,,,0.6,0.5,0.8,0.4,30,0.0,0.0,0.0,0.0,30,2,0,25.5,1,,0,3,,,,5,21.87,0,0,6.0,0,,0,0,,,,4,20.55,0,0,0.0,0,,0,0,,,,0,19.95,8478414,SKATER,0.8,0.7,1.2,0.633,30,,,,,,,,,,,,,,,,3.3,3.35,2.8,3.133,30,19.117,19.22,19.264,18.566,30
0.4,0.5,0.2,0.4,30,0.0,0.0,0.0,0.0,30,6.3,6.0,7.8,6.017,30,30,,,,,,0.2,0.1,0.4,0.133,30,0.0,0.0,0.0,0.0,30,0,0,1.5,0,,0,0,,,,1,25.4,1,0,6.5,0,,0,1,,,,1,23.98,0,0,14.0,1,,0,1,,,,4,21.2,8479325,SKATER,0.6,0.6,0.6,0.533,30,,,,,,,,,,,,,,,,1.8,1.8,2.4,1.967,30,23.671,23.461,23.492,23.475,30
0.1,0.3,0.2,0.3,30,0.0,0.0,0.0,0.0,30,5.05,5.125,5.0,5.233,30,30,,,,,,0.1,0.05,0.2,0.067,30,0.0,0.0,0.0,0.0,30,0,0,1.5,0,,0,0,,,,1,17.35,0,0,3.0,0,,0,0,,,,2,22.92,0,0,11.0,1,,0,1,,,,2,23.42,8471724,SKATER,0.2,0.35,0.4,0.367,30,,,,,,,,,,,,,,,,2.5,2.15,1.6,2.133,30,23.285,23.56,22.072,23.491,30
