projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,avg_L5,avg_L10,avg_L20,avg_season,games_played,fantasy_score_avg_L5,fantasy_score_avg_L10,fantasy_score_avg_L20,fantasy_score_avg_season,toi_avg_L10,toi_avg_season,last1_time_on_ice,last2_time_on_ice,last3_time_on_ice,last1_fantasy_score,last2_fantasy_score,last3_fantasy_score,last1_faceoffs_won,last2_faceoffs_won,last3_faceoffs_won,last1_shots_on_goal_(combo),last2_shots_on_goal_(combo),last3_shots_on_goal_(combo),last1_hits,last2_hits,last3_hits,last1_goalie_saves,last2_goalie_saves,last3_goalie_saves,last1_shots_on_goal,last2_shots_on_goal,last3_shots_on_goal,last1_blocked_shots,last2_blocked_shots,last3_blocked_shots,last1_points,last2_points,last3_points,last1_goals_allowed,last2_goals_allowed,last3_goals_allowed,last1_assists,last2_assists,last3_assists,last1_power_play_points,last2_power_play_points,last3_power_play_points,last1_goals,last2_goals,last3_goals,last1_plus/minus,last2_plus/minus,last3_plus/minus
10431545,218289,Zach Werenski,CBJ,D,Time On Ice,26.5,standard,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,time_on_ice,SKATER,LA,0,8478460,,,,,,,,,,,,,,30,12.7,11.45,10.45,10.5,23.715,26.626,,,,17.5,17.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10431543,57763,Drew Doughty,LA,D,Time On Ice,22.5,standard,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,time_on_ice,SKATER,CBJ,0,8474563,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,,,,,30,2.5,2.2,2.675,3.233,22.872,23.215,,,,6.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10431544,218255,Adam Fantilli,CBJ,F,Time On Ice,18.75,standard,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,time_on_ice,SKATER,LA,0,8484166,,,,,,,,,,,,,,30,13.5,11.45,9.925,9.6,15.598,17.916,,,,12.5,12.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10431560,218070,Anze Kopitar,LA,F,Faceoffs Won,10.5,standard,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,faceoffs_won,SKATER,CBJ,0,8471685,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,,,,,30,4.5,3.05,3.15,4.45,17.488,18.625,,,,6.5,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433065,305907,Zach Werenski + Artemi Panarin,CBJ/LA,D,Shots On Goal (Combo),6.5,standard,False,LA/CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal_(combo),SKATER,LA/CBJ,0,8478460|8478550,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10431577,267635,Samuel Helenius,LA,F,Hits,3,standard,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,hits,SKATER,CBJ,0,8482726,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,0.0,0.0,0.0,0.0,30,2.8,4.35,3.2,2.45,9.892,8.219,,,,9.5,1.5,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437801,127804,Jet Greaves,CBJ,G,Goalie Saves,24.5,standard,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,goalie_saves,GOALIE,LA,0,8482982,,,,,,,,,,,,,,11,3.6,-1.5,-1.909,-1.909,,,,,,3.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10428182,57769,Adrian Kempe,LA,F,Shots On Goal,5.5,demon,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,CBJ,0,8477960,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,3.0,3.1,2.5,2.567,30,12.3,12.45,9.45,9.05,19.443,19.21,,,,17.5,9.5,14.0,,,,,,,,,,,,,3,3,4,,,,,,,,,,,,,,,,,,,,,
10428200,302130,Artemi Panarin,LA,F,Shots On Goal,5.5,demon,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,CBJ,0,8478550,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,2.2,2.7,2.8,3.3,30,8.9,10.75,11.75,12.15,21.231,21.093,,,,16.0,1.5,9.5,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,
10428255,218289,Zach Werenski,CBJ,D,Shots On Goal,5.5,demon,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,LA,0,8478460,,,,,,,,,,2.6,3.7,4.0,3.533,30,12.7,11.45,10.45,10.5,23.715,26.626,,,,17.5,17.5,11.0,,,,,,,,,,,,,3,5,2,,,,,,,,,,,,,,,,,,,,,
10428172,218255,Adam Fantilli,CBJ,F,Shots On Goal,4.5,demon,False,LA,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,LA,0,8484166,,,,,,,,,,2.6,2.5,2.65,2.667,30,13.5,11.45,9.925,9.6,15.598,17.916,,,,12.5,12.5,19.0,,,,,,,,,,,,,3,3,2,,,,,,,,,,,,,,,,,,,,,
10428180,57769,Adrian Kempe,LA,F,Shots On Goal,4.5,demon,False,CBJ,,,2026-03-09T16:00:00.000-04:00,122812,2026-03-09T19:11:56Z,shots_on_goal,SKATER,CBJ,0,8477960,3.194,0.0,0.0,3.226,0.0,0.0,62,19,AVERAGE,3.0,3.1,2.5,2.567,30,12.3,12.45,9.45,9.05,19.443,19.21,,,,17.5,9.5,14.0,,,,,,,,,,,,,3,3,4,,,,,,,,,,,,,,,,,,,,,
