projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,avg_L5,avg_L10,avg_L20,avg_season,games_played,fantasy_score_avg_L5,fantasy_score_avg_L10,fantasy_score_avg_L20,fantasy_score_avg_season,toi_avg_L10,toi_avg_season,last1_time_on_ice,last2_time_on_ice,last3_time_on_ice,last1_fantasy_score,last2_fantasy_score,last3_fantasy_score,last1_faceoffs_won,last2_faceoffs_won,last3_faceoffs_won,last1_hits,last2_hits,last3_hits,last1_goalie_saves,last2_goalie_saves,last3_goalie_saves,last1_shots_on_goal,last2_shots_on_goal,last3_shots_on_goal,last1_goals_allowed,last2_goals_allowed,last3_goals_allowed,last1_blocked_shots,last2_blocked_shots,last3_blocked_shots,last1_goals,last2_goals,last3_goals,last1_points,last2_points,last3_points,last1_assists,last2_assists,last3_assists,last1_power_play_points,last2_power_play_points,last3_power_play_points,last1_plus/minus,last2_plus/minus,last3_plus/minus
10347997,218571,Moritz Seider,DET,D,Time On Ice,25.5,standard,False,FLA,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,time_on_ice,SKATER,,0,8481542,,,,,,,,,,,,,,30,10.2,6.2,5.875,5.9,24.983,24.818,,,,9.5,11.5,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10347995,57845,Aaron Ekblad,FLA,D,Time On Ice,23.25,standard,False,DET,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,time_on_ice,SKATER,,0,8477932,,,,,,,,,,,,,,30,8.1,6.7,6.1,6.567,24.215,23.678,,,,5.0,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10347994,57853,Sam Reinhart,FLA,F,Time On Ice,21.25,standard,False,DET,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,time_on_ice,SKATER,,0,8477933,,,,,,,,,,,,,,30,10.4,10.15,10.125,10.133,19.953,20.597,,,,22.0,6.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10347996,218570,Dylan Larkin,DET,F,Time On Ice,20.25,standard,False,FLA,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,time_on_ice,SKATER,,0,8477946,,,,,,,,,,,,,,30,7.7,6.85,7.3,7.55,19.853,20.177,,,,1.5,16.0,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10357085,218570,Dylan Larkin,DET,F,Faceoffs Won,11,standard,False,FLA,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,faceoffs_won,SKATER,,0,8477946,,,,,,,,,,,,,,30,7.7,6.85,7.3,7.55,19.853,20.177,,,,1.5,16.0,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10357090,57952,Anton Lundell,FLA,F,Faceoffs Won,7.5,standard,False,DET,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,faceoffs_won,SKATER,,0,8482113,,,,,,,,,,,,,,30,7.7,7.4,4.775,5.667,17.531,16.33,,,,1.5,1.5,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10357149,218571,Moritz Seider,DET,D,Hits,2.5,standard,False,FLA,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,hits,SKATER,,0,8481542,,,,,,,,,,0.0,0.0,0.0,0.0,30,10.2,6.2,5.875,5.9,24.983,24.818,,,,9.5,11.5,21.0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10357166,87159,Andrew Copp,DET,F,Hits,0.5,standard,False,FLA,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,hits,SKATER,,0,8477429,,,,,,,,,,0.0,0.0,0.0,0.0,30,6.4,5.35,4.475,4.883,15.855,15.179,,,,6.5,1.5,5.0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10362090,268447,John Gibson,DET,G,Goalie Saves,31.5,demon,False,FLA,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,goalie_saves,GOALIE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10362088,268447,John Gibson,DET,G,Goalie Saves,30.5,demon,False,FLA,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,goalie_saves,GOALIE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10362089,268447,John Gibson,DET,G,Goalie Saves,29.5,demon,False,FLA,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,goalie_saves,GOALIE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10358460,268447,John Gibson,DET,G,Goalie Saves,26.5,standard,False,FLA,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,goalie_saves,GOALIE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10362091,268447,John Gibson,DET,G,Goalie Saves,23.5,goblin,False,FLA,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,goalie_saves,GOALIE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10362092,268447,John Gibson,DET,G,Goalie Saves,22.5,goblin,False,FLA,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,goalie_saves,GOALIE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10352405,171511,Alex DeBrincat,DET,F,Shots On Goal,5.5,demon,False,FLA,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,shots_on_goal,SKATER,,0,8479337,,,,,,,,,,3.0,3.3,3.5,3.533,30,11.9,10.75,11.0,12.1,18.663,18.514,,,,12.5,17.0,9.5,,,,,,,,,,3,6,1,,,,,,,,,,,,,,,,,,,,,
10352408,218570,Dylan Larkin,DET,F,Shots On Goal,5.5,demon,False,FLA,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,shots_on_goal,SKATER,,0,8477946,,,,,,,,,,1.4,1.5,1.7,2.233,30,7.7,6.85,7.3,7.55,19.853,20.177,,,,1.5,16.0,11.5,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,
10352411,218665,Matthew Tkachuk,FLA,F,Shots On Goal,5.5,demon,False,DET,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,shots_on_goal,SKATER,,0,8479314,,,,,,,,,,5.6,3.8,3.25,3.1,30,22.0,16.6,11.725,10.883,18.987,18.421,,,,30.0,31.5,11.0,,,,,,,,,,8,7,2,,,,,,,,,,,,,,,,,,,,,
10352404,171511,Alex DeBrincat,DET,F,Shots On Goal,4.5,demon,False,FLA,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,shots_on_goal,SKATER,,0,8479337,,,,,,,,,,3.0,3.3,3.5,3.533,30,11.9,10.75,11.0,12.1,18.663,18.514,,,,12.5,17.0,9.5,,,,,,,,,,3,6,1,,,,,,,,,,,,,,,,,,,,,
10352406,233634,Brad Marchand,FLA,F,Shots On Goal,4.5,demon,False,DET,,,2026-03-06T19:00:00.000-05:00,133397,2026-03-06T19:45:01Z,shots_on_goal,SKATER,,0,8473419,,,,,,,,,,2.2,1.9,2.4,2.433,30,7.5,5.45,7.75,7.617,17.622,17.882,,,,11.0,3.0,9.5,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,
