projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,avg_L5,avg_L10,avg_L20,avg_season,games_played,fantasy_score_avg_L5,fantasy_score_avg_L10,fantasy_score_avg_L20,fantasy_score_avg_season,toi_avg_L10,toi_avg_season,last1_time_on_ice,last2_time_on_ice,last3_time_on_ice,last1_fantasy_score,last2_fantasy_score,last3_fantasy_score,last1_faceoffs_won,last2_faceoffs_won,last3_faceoffs_won,last1_shots_on_goal_(combo),last2_shots_on_goal_(combo),last3_shots_on_goal_(combo),last1_hits,last2_hits,last3_hits,last1_goalie_saves,last2_goalie_saves,last3_goalie_saves,last1_shots_on_goal,last2_shots_on_goal,last3_shots_on_goal,last1_blocked_shots,last2_blocked_shots,last3_blocked_shots,last1_points,last2_points,last3_points,last1_goals_allowed,last2_goals_allowed,last3_goals_allowed,last1_goals,last2_goals,last3_goals,last1_assists,last2_assists,last3_assists,last1_power_play_points,last2_power_play_points,last3_power_play_points,last1_plus/minus,last2_plus/minus,last3_plus/minus,hit_rate_over_L5,sample_L5,hit_rate_over_L10,sample_L10,hit_rate_over_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,edge,recommended_side,position_code,position_group,scoring_tier,pp_tier,pts_per_game,goals_per_game,pp_pts_per_game,toi_per_game_api
10374856,219643,Jakob Chychrun,WSH,D,Time On Ice,24.75,standard,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,time_on_ice,SKATER,,0,8479345,,,,,,,,,,,,,,30,3.1,6.5,6.2,6.95,21.456,21.422,,,,3.0,0.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0,30,0.0,0.5,UNDER,D,D,SECONDARY,PP_REGULAR,0.803,0.361,0.23,23.75
10374858,218275,Charlie McAvoy,BOS,D,Time On Ice,24,standard,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,time_on_ice,SKATER,,0,8479325,,,,,,,,,,,,,,30,7.8,6.3,6.0,6.017,23.671,23.475,,,,1.5,6.5,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0,30,0.0,0.5,UNDER,D,D,SECONDARY,PP_REGULAR,0.878,0.122,0.347,24.25
10374857,218274,David Pastrnak,BOS,F,Time On Ice,22.25,standard,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,time_on_ice,SKATER,,0,8477956,,,,,,,,,,,,,,30,16.8,17.75,14.05,14.867,18.946,20.674,,,,14.5,14.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0,30,0.0,0.5,UNDER,R,F,ELITE,PP1_STAR,1.286,0.393,0.482,20.42
10374855,218565,Alex Ovechkin,WSH,F,Time On Ice,16,standard,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,time_on_ice,SKATER,,0,8471214,,,,,,,,,,,,,,30,11.9,13.7,13.15,13.45,17.541,17.863,,,,11.0,8.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0,30,0.0,0.5,UNDER,L,F,SECONDARY,PP_REGULAR,0.794,0.381,0.238,17.77
10386251,87042,Dylan Strome,WSH,F,Faceoffs Won,9.5,standard,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,faceoffs_won,SKATER,,0,8478440,,,,,,,,,,,,,,30,12.9,12.55,9.675,9.483,16.946,17.045,,,,6.5,33.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0,30,0.0,0.5,UNDER,C,F,SECONDARY,PP_REGULAR,0.803,0.262,0.295,18.45
10386250,218323,Elias Lindholm,BOS,F,Faceoffs Won,9,standard,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,faceoffs_won,SKATER,,0,8477496,,,,,,,,,,,,,,30,10.1,9.5,7.825,7.917,17.403,18.199,,,,5.0,17.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0,30,0.0,0.5,UNDER,C,F,SECONDARY,PP_REGULAR,0.812,0.229,0.396,17.65
10386584,305341,David Pastrnak + Alex Ovechkin,BOS/WSH,F,Shots On Goal (Combo),6.5,standard,False,WSH/BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal_(combo),SKATER,,0,8471214|8477956,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.5,UNDER,F,F,UNKNOWN,N/A,0.0,0.0,0.0,
10386465,218567,Tom Wilson,WSH,F,Hits,3,standard,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,hits,SKATER,,0,8476880,,,,,,,,,,0.0,0.0,0.0,0.0,30,6.6,6.45,7.0,8.833,18.669,18.515,,,,8.0,8.0,3.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0,30,0.0,0.5,UNDER,R,F,ELITE,PP_REGULAR,0.925,0.434,0.208,19.48
10386467,219292,Mark Kastelic,BOS,F,Hits,3,standard,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,hits,SKATER,,0,8480355,,,,,,,,,,0.0,0.0,0.0,0.0,30,0.0,2.15,2.075,2.267,10.247,9.858,,,,0.0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0,30,0.0,0.5,UNDER,C,F,DEPTH,NO_PP,0.279,0.148,0.016,13.17
10386472,267676,Tanner Jeannot,BOS,F,Hits,3,standard,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,hits,SKATER,,0,8479661,,,,,,,,,,0.0,0.0,0.0,0.0,30,7.3,4.25,2.5,2.283,9.58,10.228,,,,1.5,17.5,14.5,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0,30,0.0,0.5,UNDER,L,F,DEPTH,NO_PP,0.368,0.105,0.018,13.17
10386477,218301,Nikita Zadorov,BOS,D,Hits,2.5,standard,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,hits,SKATER,,0,8477507,,,,,,,,,,0.0,0.0,0.0,0.0,30,4.9,3.85,3.775,4.133,20.946,21.503,,,,10.0,5.0,1.5,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0,30,0.0,0.5,UNDER,D,D,DEPTH,NO_PP,0.3,0.017,0.0,21.43
10386463,218565,Alex Ovechkin,WSH,F,Hits,1.5,standard,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,hits,SKATER,,0,8471214,,,,,,,,,,0.0,0.0,0.0,0.0,30,11.9,13.7,13.15,13.45,17.541,17.863,,,,11.0,8.0,17.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0,30,0.0,0.5,UNDER,L,F,SECONDARY,PP_REGULAR,0.794,0.381,0.238,17.77
10386486,218323,Elias Lindholm,BOS,F,Hits,0.5,standard,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,hits,SKATER,,0,8477496,,,,,,,,,,0.0,0.0,0.0,0.0,30,10.1,9.5,7.825,7.917,17.403,18.199,,,,5.0,17.5,11.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0,30,0.0,0.5,UNDER,C,F,SECONDARY,PP_REGULAR,0.812,0.229,0.396,17.65
10388796,218357,Jeremy Swayman,BOS,G,Goalie Saves,26.5,standard,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,goalie_saves,GOALIE,,0,8480280,,,,,,,,,,,,,,30,-6.6,-9.9,-7.95,-7.9,,,,,,-15.0,-12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0,30,0.0,0.5,UNDER,G,G,GOALIE,N/A,0.0,0.0,0.0,
10389122,218587,Logan Thompson,WSH,G,Goalie Saves,24.5,standard,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,goalie_saves,GOALIE,,0,8480313,,,,,,,,,,,,,,30,-7.8,-5.4,-3.9,-3.0,,,,,,-9.0,-21.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0,30,0.0,0.5,UNDER,G,G,GOALIE,N/A,0.0,0.0,0.0,
10377391,218274,David Pastrnak,BOS,F,Shots On Goal,6.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal,SKATER,,0,8477956,,,,,,,,,,2.0,2.7,3.1,3.533,30,16.8,17.75,14.05,14.867,18.946,20.674,,,,14.5,14.5,17.5,,,,,,,,,,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.1,10,0.1,20,0.1,30,0.06,0.44,UNDER,R,F,ELITE,PP1_STAR,1.286,0.393,0.482,20.42
10377364,218565,Alex Ovechkin,WSH,F,Shots On Goal,5.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal,SKATER,,0,8471214,,,,,,,,,,3.4,3.2,3.3,3.567,30,11.9,13.7,13.15,13.45,17.541,17.863,,,,11.0,8.0,17.0,,,,,,,,,,,,,2,2,6,,,,,,,,,,,,,,,,,,,,,,0.2,5,0.1,10,0.1,20,0.0667,30,0.1367,0.3633,UNDER,L,F,SECONDARY,PP_REGULAR,0.794,0.381,0.238,17.77
10377390,218274,David Pastrnak,BOS,F,Shots On Goal,5.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal,SKATER,,0,8477956,,,,,,,,,,2.0,2.7,3.1,3.533,30,16.8,17.75,14.05,14.867,18.946,20.674,,,,14.5,14.5,17.5,,,,,,,,,,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.2,10,0.2,20,0.2,30,0.12,0.38,UNDER,R,F,ELITE,PP1_STAR,1.286,0.393,0.482,20.42
10377407,219643,Jakob Chychrun,WSH,D,Shots On Goal,5.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal,SKATER,,0,8479345,,,,,,,,,,1.4,2.6,2.5,2.5,30,3.1,6.5,6.2,6.95,21.456,21.422,,,,3.0,0.0,4.5,,,,,,,,,,,,,2,0,3,,,,,,,,,,,,,,,,,,,,,,0.4,5,0.3,10,0.2,20,0.1667,30,0.3117,0.1883,UNDER,D,D,SECONDARY,PP_REGULAR,0.803,0.361,0.23,23.75
