nba_player_id,player,team,opp_team,line,actual,prop_type_norm,pick_type,bet_direction,tier,abs_edge,abs_edge_bucket,minutes_bucket,actual_minutes,_opp_def_bucket,pick_minutes_bucket,dir_minutes_bucket,min_def_bucket,allowed_dir,dir_ok,platform_ok,result,void_reason,result_sign,pos,prop_type,min_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,overall_def_rank,def_tier,edge,confidence,prop_weight
1631093,Jaden Ivey,CHI,DEN,28.5,,pra,Demon,OVER,A,16.17,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,17.26,0,5,0,0.0,13,Avg,16.17,16.17,1.0
1631093,Jaden Ivey,CHI,DEN,26.5,,pra,Demon,OVER,A,14.17,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,17.26,0,5,0,0.0,13,Avg,14.17,14.17,1.0
2544,LeBron James,LAL,GSW,44.5,,pra,Demon,OVER,A,13.54,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,33.15,0,5,0,0.0,22,Bad,13.54,13.54,1.0
203994,Jusuf Nurkić,UTA,ORL,19.5,,pra,Goblin,OVER,A,13.35,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,C,Pts+Rebs+Asts,26.55,5,0,0,1.0,8,Good,13.35,13.35,1.0
1631128,Christian Braun,DEN,CHI,25.5,,pra,Demon,OVER,A,13.32,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,29.5,0,5,0,0.0,14,Avg,13.32,13.32,1.0
1628378,Donovan Mitchell,CLE,SAC,39.5,,points,Demon,OVER,A,13.23,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Points,33.77,1,4,0,0.2,26,Target,13.23,13.23,1.0
1631096,Chet Holmgren,OKC,HOU,29.5,,points,Demon,OVER,A,13.23,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,C-F,Points,29.22,0,5,0,0.0,9,Good,13.23,13.23,1.0
1629660,Ty Jerome,MEM,POR,9.5,,points,Goblin,OVER,A,12.83,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G-F,Points,20.33,3,0,0,1.0,25,Target,12.83,12.83,1.0
1629660,Ty Jerome,MEM,POR,19.5,,pra,Goblin,OVER,A,12.5,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G-F,Pts+Rebs+Asts,20.33,3,0,0,1.0,25,Target,12.5,12.5,1.0
1629660,Ty Jerome,MEM,POR,19.5,,pra,Goblin,OVER,A,12.5,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G-F,Pts+Rebs+Asts,20.33,3,0,0,1.0,25,Target,12.5,12.5,1.0
1629014,Anfernee Simons,CHI,DEN,32.5,,pra,Demon,OVER,A,12.36,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,24.66,0,5,0,0.0,13,Avg,12.36,12.36,1.0
1641713,GG Jackson,MEM,POR,24.5,15.0,points,Demon,OVER,A,12.3,3+,NA,27.1,NA,Demon | NA,OVER | NA,NA | NA,,,,MISS,,-1,F,Points,18.45,0,5,0,0.0,25,Target,12.3,12.3,1.0
1630598,Aaron Wiggins,OKC,HOU,24.5,,points,Demon,OVER,A,12.23,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Points,24.03,0,5,0,0.0,9,Good,12.23,12.23,1.0
1642383,Walter Clayton,MEM,POR,17.5,11.0,points,Demon,OVER,A,11.8,3+,NA,22.033333333333335,NA,Demon | NA,OVER | NA,NA | NA,,,,MISS,,-1,G,Points,18.13,0,5,0,0.0,25,Target,11.8,11.8,1.0
1631093,Jaden Ivey,CHI,DEN,19.5,,points,Demon,OVER,A,11.76,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Points,17.26,0,5,0,0.0,13,Avg,11.76,11.76,1.0
1631128,Christian Braun,DEN,CHI,17.5,,points,Demon,OVER,A,11.62,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Points,29.5,0,5,0,0.0,14,Avg,11.62,11.62,1.0
2544,LeBron James,LAL,GSW,42.5,,pra,Demon,OVER,A,11.54,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,33.15,0,5,0,0.0,22,Bad,11.54,11.54,1.0
1629660,Ty Jerome,MEM,POR,20.5,,pra,Goblin,OVER,A,11.5,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G-F,Pts+Rebs+Asts,20.33,3,0,0,1.0,25,Target,11.5,11.5,1.0
1631128,Christian Braun,DEN,CHI,23.5,,pra,Demon,OVER,A,11.32,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,29.5,0,5,0,0.0,14,Avg,11.32,11.32,1.0
1628991,Jaren Jackson,UTA,ORL,19.5,,pra,Goblin,OVER,A,11.31,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F-C,Pts+Rebs+Asts,30.73,5,0,0,1.0,8,Good,11.31,11.31,1.0
1626164,Devin Booker,PHX,PHI,24.5,,pra,Goblin,OVER,A,11.0,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,34.02,5,0,0,1.0,18,Avg,11.0,11.0,1.0
1642843,Cooper Flagg,DAL,SAS,29.5,,pra,Goblin,OVER,A,10.92,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,34.26,4,1,0,0.8,2,Elite,10.92,10.92,1.0
1629660,Ty Jerome,MEM,POR,11.5,,points,Goblin,OVER,A,10.83,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G-F,Points,20.33,3,0,0,1.0,25,Target,10.83,10.83,1.0
1642843,Cooper Flagg,DAL,SAS,17.5,,points,Goblin,OVER,A,10.78,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Points,34.26,4,1,0,0.8,2,Elite,10.78,10.78,1.0
1630598,Aaron Wiggins,OKC,HOU,29.5,,pra,Demon,OVER,A,10.63,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,24.03,1,4,0,0.2,9,Good,10.63,10.63,1.0
201142,Kevin Durant,HOU,OKC,34.5,,points,Demon,OVER,A,10.36,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Points,36.64,0,5,0,0.0,1,Elite,10.36,10.36,1.0
1629014,Anfernee Simons,CHI,DEN,30.5,,pra,Demon,OVER,A,10.36,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,24.66,1,4,0,0.2,13,Avg,10.36,10.36,1.0
203994,Jusuf Nurkić,UTA,ORL,22.5,,pra,Goblin,OVER,A,10.35,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,C,Pts+Rebs+Asts,26.55,4,1,0,0.8,8,Good,10.35,10.35,1.0
1629008,Michael Porter,BKN,WAS,42.5,,pra,Demon,OVER,A,10.33,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,33.05,2,3,0,0.4,28,Target,10.33,10.33,1.0
1642383,Walter Clayton,MEM,POR,20.5,18.0,pra,Demon,OVER,A,10.33,3+,NA,22.033333333333335,NA,Demon | NA,OVER | NA,NA | NA,,,,MISS,,-1,G,Pts+Rebs+Asts,18.13,0,5,0,0.0,25,Target,10.33,10.33,1.0
1628991,Jaren Jackson,UTA,ORL,11.5,,points,Goblin,OVER,A,10.32,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F-C,Points,30.73,5,0,0,1.0,8,Good,10.32,10.32,1.0
1641718,Keyonte George,UTA,ORL,24.5,,pra,Goblin,OVER,A,10.31,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,34.4,5,0,0,1.0,8,Good,10.31,10.31,1.0
1628991,Jaren Jackson,UTA,ORL,20.5,,pra,Goblin,OVER,A,10.31,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F-C,Pts+Rebs+Asts,30.73,5,0,0,1.0,8,Good,10.31,10.31,1.0
1631093,Jaden Ivey,CHI,DEN,22.5,,pra,Standard,UNDER,A,10.17,3+,NA,,NA,Standard | NA,UNDER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,17.26,1,4,0,0.2,13,Avg,-10.17,10.17,1.0
1629660,Ty Jerome,MEM,POR,12.5,,points,Goblin,OVER,A,9.83,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G-F,Points,20.33,3,0,0,1.0,25,Target,9.83,9.83,1.0
