nba_player_id,team,player,espn_athlete_id,updated_at
1630595,DET,Cade Cunningham,4432166,2026-02-23T15:28:42
1641705,SAS,Victor Wembanyama,5104157,2026-02-23T15:28:42
1631105,DET,Jalen Duren,4433621,2026-02-23T15:28:42
1642264,SAS,Stephon Castle,4845367,2026-02-23T15:28:42
1628368,SAS,De'Aaron Fox,4066259,2026-02-23T15:28:42
202699,DET,Tobias Harris,6440,2026-02-23T15:28:42
1641709,DET,Ausar Thompson,4684742,2026-02-23T15:28:42
1630170,SAS,Devin Vassell,4395630,2026-02-23T15:28:42
1629130,DET,Duncan Robinson,3157465,2026-02-23T15:28:42
1642844,SAS,Dylan Harper,5037871,2026-02-23T15:28:42
1629640,SAS,Keldon Johnson,4395723,2026-02-23T15:28:42
1630577,SAS,Julian Champagnie,4592479,2026-02-23T15:28:42
1642450,DET,Daniss Jenkins,5107199,2026-02-23T15:28:42
203084,SAS,Harrison Barnes,6578,2026-02-23T15:28:43
1641842,DET,Ronald Holland,4683771,2026-02-23T15:28:43
1627747,DET,Caris LeVert,2991043,2026-02-23T15:28:43
1628436,SAS,Luke Kornet,3064560,2026-02-23T15:28:43
1629750,DET,Javonte Green,2596112,2026-02-23T15:28:43
1642875,SAC,Maxime Raynaud,4898371,2026-02-23T15:28:46
1629660,MEM,Ty Jerome,4065733,2026-02-23T15:28:46
1631099,SAC,Keegan Murray,4594327,2026-02-23T15:28:46
201942,SAC,DeMar DeRozan,3978,2026-02-23T15:28:46
1641713,MEM,GG Jackson,5105550,2026-02-23T15:28:46
201566,SAC,Russell Westbrook,3468,2026-02-23T15:28:46
1642377,MEM,Jaylen Wells,5112087,2026-02-23T15:28:46
1642363,SAC,Nique Clifford,4702384,2026-02-23T15:28:46
1628370,SAC,Malik Monk,4066262,2026-02-23T15:28:46
1641707,MEM,Taylor Hendricks,4684806,2026-02-23T15:28:46
1642383,MEM,Walter Clayton,4896372,2026-02-23T15:28:46
1642285,MEM,Cam Spencer,4433083,2026-02-23T15:28:46
1630173,SAC,Precious Achiuwa,4431679,2026-02-23T15:28:46
1630578,HOU,Alperen Sengun,4871144,2026-02-23T15:28:49
201142,HOU,Kevin Durant,3202,2026-02-23T15:28:49
1641708,HOU,Amen Thompson,4684740,2026-02-23T15:28:49
1628374,UTA,Lauri Markkanen,4066336,2026-02-23T15:28:49
2074,HOU,Jabari Smith,4432639,2026-02-23T15:28:49
