player,team,prop_norm,line,nba_player_id,player_1,player_2,team_1,team_2,is_combo_player
,DET/LAC,3ptmade(combo),5.5,,,,,,0
Nikola Vučević,BOS,pr,29.5,202696,,,,,0
Nikola Vučević,BOS,pra,29.5,202696,,,,,0
Nikola Vučević,BOS,fantasy,26.0,202696,,,,,0
Nikola Vučević,BOS,pr,24.5,202696,,,,,0
Nikola Vučević,BOS,pra,24.5,202696,,,,,0
Egor Dëmin,BKN,pra,24.5,1642856,,,,,0
Nikola Vučević,BOS,pra,23.5,202696,,,,,0
Nikola Vučević,BOS,pr,23.5,202696,,,,,0
Nikola Vučević,BOS,pra,21.5,202696,,,,,0
Egor Dëmin,BKN,fantasy,21.5,1642856,,,,,0
Egor Dëmin,BKN,pra,20.5,1642856,,,,,0
Nikola Vučević,BOS,pr,19.5,202696,,,,,0
Nikola Vučević,BOS,pts,19.5,202696,,,,,0
Nikola Vučević,BOS,pa,19.5,202696,,,,,0
Nikola Vučević,BOS,pra,19.5,202696,,,,,0
Egor Dëmin,BKN,pa,19.5,1642856,,,,,0
Egor Dëmin,BKN,pr,19.5,1642856,,,,,0
Egor Dëmin,BKN,pra,19.5,1642856,,,,,0
Nikola Vučević,BOS,pts,17.5,202696,,,,,0
Egor Dëmin,BKN,pts,17.5,1642856,,,,,0
Egor Dëmin,BKN,pa,17.5,1642856,,,,,0
Egor Dëmin,BKN,pr,17.5,1642856,,,,,0
Nikola Vučević,BOS,pa,17.5,202696,,,,,0
Egor Dëmin,BKN,pra,16.5,1642856,,,,,0
Nikola Vučević,BOS,pts,14.5,202696,,,,,0
Nikola Vučević,BOS,pa,14.5,202696,,,,,0
Nikola Vučević,BOS,pr,14.5,202696,,,,,0
Egor Dëmin,BKN,pts,14.5,1642856,,,,,0
Egor Dëmin,BKN,pra,14.5,1642856,,,,,0
Egor Dëmin,BKN,pa,13.5,1642856,,,,,0
Egor Dëmin,BKN,pr,13.5,1642856,,,,,0
Egor Dëmin,BKN,pra,13.5,1642856,,,,,0
Nikola Vučević,BOS,ra,12.5,202696,,,,,0
Nikola Vučević,BOS,pts,12.0,202696,,,,,0
Nikola Vučević,BOS,reb,11.5,202696,,,,,0
Egor Dëmin,BKN,pa,11.5,1642856,,,,,0
Egor Dëmin,BKN,pr,11.5,1642856,,,,,0
Nikola Vučević,BOS,pa,11.5,202696,,,,,0
Nikola Vučević,BOS,ra,11.5,202696,,,,,0
Egor Dëmin,BKN,pts,11.5,1642856,,,,,0
Nikola Vučević,BOS,pts,10.5,202696,,,,,0
Nikola Vučević,BOS,ra,10.5,202696,,,,,0
Nikola Vučević,BOS,pts,9.5,202696,,,,,0
Nikola Vučević,BOS,reb,9.5,202696,,,,,0
Egor Dëmin,BKN,pts,9.5,1642856,,,,,0
Egor Dëmin,BKN,pa,9.5,1642856,,,,,0
