projection_id,pp_projection_id,player_id,pp_game_id,start_time,player,pos,team,opp_team,pp_home_team,pp_away_team,prop_type,line,pick_type
10002871,10002871,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Pts+Rebs,39.5,Demon
10001837,10001837,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Pts+Rebs+Asts,35.5,Demon
10008579,10008579,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Fantasy Score,35.5,Standard
10002870,10002870,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Pts+Rebs,34.5,Demon
10001836,10001836,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Pts+Rebs+Asts,33.5,Demon
10004258,10004258,301448,128816,2026-02-20T19:00:00.000-05:00,Tre Johnson + Jarace Walker,G/F,WAS/IND,,,,Points (Combo),32.5,Standard
10001746,10001746,87352,128816,2026-02-20T19:00:00.000-05:00,Andrew Nembhard,G-F,IND,,,,Pts+Rebs+Asts,31.5,Demon
10001839,10001839,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Pts+Rebs+Asts,30.5,Standard
10008576,10008576,87352,128816,2026-02-20T19:00:00.000-05:00,Andrew Nembhard,G-F,IND,,,,Fantasy Score,30.5,Standard
10001745,10001745,87352,128816,2026-02-20T19:00:00.000-05:00,Andrew Nembhard,G-F,IND,,,,Pts+Rebs+Asts,29.5,Demon
10002850,10002850,87352,128816,2026-02-20T19:00:00.000-05:00,Andrew Nembhard,G-F,IND,,,,Pts+Asts,29.5,Demon
10002854,10002854,87352,128816,2026-02-20T19:00:00.000-05:00,Andrew Nembhard,G-F,IND,,,,Pts+Rebs,29.5,Demon
10002866,10002866,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Pts+Asts,29.5,Demon
10002869,10002869,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Pts+Rebs,29.5,Demon
10003308,10003308,87352,128816,2026-02-20T19:00:00.000-05:00,Andrew Nembhard,G-F,IND,,,,Pts+Asts,29.5,Demon
10003310,10003310,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Pts+Asts,29.5,Demon
10004296,10004296,272926,128816,2026-02-20T19:00:00.000-05:00,Jay Huff,C,IND,,,,Pts+Rebs,29.5,Demon
10004441,10004441,218128,128816,2026-02-20T19:00:00.000-05:00,Kyshawn George,F,WAS,,,,Pts+Rebs+Asts,29.5,Demon
10004259,10004259,301209,128816,2026-02-20T19:00:00.000-05:00,Tre Johnson + Andrew Nembhard,G,WAS/IND,,,,Points (Combo),29.0,Standard
10007538,10007538,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Pts+Rebs+Asts,28.5,Goblin
10008580,10008580,272926,128816,2026-02-20T19:00:00.000-05:00,Jay Huff,C,IND,,,,Fantasy Score,28.0,Standard
10001840,10001840,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Pts+Rebs+Asts,27.5,Goblin
10002410,10002410,300393,128816,2026-02-20T19:00:00.000-05:00,Kobe Brown,F,IND,,,,Pts+Rebs+Asts,27.5,Demon
10001835,10001835,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Pts+Rebs,27.0,Standard
9920326,9920326,87352,128816,2026-02-20T19:00:00.000-05:00,Andrew Nembhard,G-F,IND,,,,Pts+Rebs+Asts,26.5,Standard
10001830,10001830,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Points,25.5,Demon
10001874,10001874,272926,128816,2026-02-20T19:00:00.000-05:00,Jay Huff,C,IND,,,,Pts+Rebs+Asts,25.5,Demon
10002408,10002408,300393,128816,2026-02-20T19:00:00.000-05:00,Kobe Brown,F,IND,,,,Pts+Rebs+Asts,25.5,Demon
10004265,10004265,301803,128816,2026-02-20T19:00:00.000-05:00,Tre Johnson + Jay Huff,G,WAS/IND,,,,Points (Combo),25.5,Standard
10008575,10008575,87498,128816,2026-02-20T19:00:00.000-05:00,Aaron Nesmith,G-F,IND,,,,Fantasy Score,25.5,Standard
10008581,10008581,300393,128816,2026-02-20T19:00:00.000-05:00,Kobe Brown,F,IND,,,,Fantasy Score,25.5,Standard
10008582,10008582,218128,128816,2026-02-20T19:00:00.000-05:00,Kyshawn George,F,WAS,,,,Fantasy Score,25.5,Standard
10008775,10008775,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Pts+Rebs,25.5,Goblin
9920323,9920323,87352,128816,2026-02-20T19:00:00.000-05:00,Andrew Nembhard,G-F,IND,,,,Points,24.5,Demon
10001778,10001778,175142,128816,2026-02-20T19:00:00.000-05:00,Bilal Coulibaly,G,WAS,,,,Pts+Rebs+Asts,24.5,Demon
10002703,10002703,175142,128816,2026-02-20T19:00:00.000-05:00,Bilal Coulibaly,G,WAS,,,,Pts+Rebs,24.5,Demon
10002708,10002708,218039,128816,2026-02-20T19:00:00.000-05:00,Bub Carrington,G,WAS,,,,Pts+Asts,24.5,Demon
10002714,10002714,271616,128816,2026-02-20T19:00:00.000-05:00,Tre Johnson,G,WAS,,,,Pts+Asts,24.5,Demon
10002717,10002717,271616,128816,2026-02-20T19:00:00.000-05:00,Tre Johnson,G,WAS,,,,Pts+Rebs,24.5,Demon
10002853,10002853,87352,128816,2026-02-20T19:00:00.000-05:00,Andrew Nembhard,G-F,IND,,,,Pts+Rebs,24.5,Demon
10002856,10002856,87352,128816,2026-02-20T19:00:00.000-05:00,Andrew Nembhard,G-F,IND,,,,Pts+Rebs+Asts,24.5,Goblin
10002867,10002867,182373,128816,2026-02-20T19:00:00.000-05:00,Jarace Walker,F,IND,,,,Pts+Asts,24.5,Demon
