nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,is_combo_player
1630595,10063100,10063100,59107,129973,2026-02-23T19:00:00.000-05:00,,,Cade Cunningham,G,DET,SAS,54.5,Pts+Rebs+Asts,pra,Demon,43.0,2,https://static.prizepicks.com/images/players/NBA/Cade_Cunningham_NBA_player_mq8YRxGgt7Csv81PJK3QsXJu.webp,,,,,OK,0
1630595,10070395,10070395,59107,129973,2026-02-23T19:00:00.000-05:00,,,Cade Cunningham,G,DET,SAS,51.5,Fantasy Score,fantasy,Standard,51.5,0,https://static.prizepicks.com/images/players/NBA/Cade_Cunningham_NBA_player_mq8YRxGgt7Csv81PJK3QsXJu.webp,,,,,OK,0
1630595|1641705,10066034,10066034,302503,129973,2026-02-23T19:00:00.000-05:00,,,Cade Cunningham + Victor Wembanyama,G,DET/SAS,,51.0,Points (Combo),points(combo),Standard,51.0,0,https://static.prizepicks.com/images/players/CMBO_group_7mZugeubcgwxFKwfE0AKlhTV.webp,Cade Cunningham,Victor Wembanyama,DET,SAS,OK,1
1630595,10063098,10063098,59107,129973,2026-02-23T19:00:00.000-05:00,,,Cade Cunningham,G,DET,SAS,49.5,Pts+Rebs+Asts,pra,Demon,43.0,1,https://static.prizepicks.com/images/players/NBA/Cade_Cunningham_NBA_player_mq8YRxGgt7Csv81PJK3QsXJu.webp,,,,,OK,0
1641705,10063158,10063158,173819,129973,2026-02-23T19:00:00.000-05:00,,,Victor Wembanyama,F-C,SAS,DET,49.5,Pts+Rebs+Asts,pra,Demon,37.5,3,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,,,,,OK,0
1630595,10063897,10063897,59107,129973,2026-02-23T19:00:00.000-05:00,,,Cade Cunningham,G,DET,SAS,49.5,Pts+Asts,pa,Demon,37.5,3,https://static.prizepicks.com/images/players/NBA/Cade_Cunningham_NBA_player_mq8YRxGgt7Csv81PJK3QsXJu.webp,,,,,OK,0
1641705,10070407,10070407,173819,129973,2026-02-23T19:00:00.000-05:00,,,Victor Wembanyama,F-C,SAS,DET,49.0,Fantasy Score,fantasy,Standard,49.0,0,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,,,,,OK,0
1630595,10063090,10063090,59107,129973,2026-02-23T19:00:00.000-05:00,,,Cade Cunningham,G,DET,SAS,44.5,Pts+Asts,pa,Demon,37.5,2,https://static.prizepicks.com/images/players/NBA/Cade_Cunningham_NBA_player_mq8YRxGgt7Csv81PJK3QsXJu.webp,,,,,OK,0
1630595,10063095,10063095,59107,129973,2026-02-23T19:00:00.000-05:00,,,Cade Cunningham,G,DET,SAS,44.5,Pts+Rebs,pr,Demon,33.5,2,https://static.prizepicks.com/images/players/NBA/Cade_Cunningham_NBA_player_mq8YRxGgt7Csv81PJK3QsXJu.webp,,,,,OK,0
1641705,10063153,10063153,173819,129973,2026-02-23T19:00:00.000-05:00,,,Victor Wembanyama,F-C,SAS,DET,44.5,Pts+Rebs,pr,Demon,34.5,2,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,,,,,OK,0
1641705,10063156,10063156,173819,129973,2026-02-23T19:00:00.000-05:00,,,Victor Wembanyama,F-C,SAS,DET,44.5,Pts+Rebs+Asts,pra,Demon,37.5,2,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,,,,,OK,0
