Watchlist 'D. RSI M'

D. RSI M
Symbol,Last,%Change,Volume,perc chg,rVOLD
CAN,1.040000,+6.13%,"5,320,043",6.0918,0.57
CIG,1.9400,+2.11%,"1,323,791",2.6,0.64
BBD,2.5000,+2.88%,"15,259,395",2.04,0.9
BLDP,2.7900,-2.79%,"2,356,519",-2.11,0.83
CLNE,3.0700,+4.07%,"1,343,892",3.79,0.78
BLNK,3.1500,-4.26%,"3,350,672",-2.17,0.68
ACHR,3.43,-0.58%,"9,510,721",-5.46,2.09
ADPT,3.90,+1.56%,"1,167,367",7.65,0.63
AVXL,4.03,-3.13%,"792,488",1.93,0.7
APLD,4.92,+5.35%,"5,128,245",7.51,1.37
AUPH,5.39,-1.28%,"744,331",-1.64,0.55
AZUL,5.50,+3.38%,"1,016,667",-0.37,0.51
AMC,5.79,+12.43%,"131,091,555",28.71,2.1
BCRX,6.44,-5.15%,"3,516,083",-4.74,0.96
AGL,6.80,-0.44%,"3,594,501",2.2,0.87
ACDC,8.81,+1.26%,"412,298",1.97,0.37
ATEC,10.255,+3.17%,"1,594,923",3.59,0.93
BMBL,11.62,-0.60%,"1,195,857",1.64,0.42
CIM,11.92,-1.32%,"518,881",-1.24,0.97
ASAN,13.82,+4.38%,"1,850,930",4.55,1
