player_norm,espn_athlete_id
benjamin lecomte,149517
bernd leno,153765
alfie mcnally,365334
kenny tete,190974
joachim andersen,196081
timothy castagne,197163
antonee robinson,222396
issa diop,230963
jorge cuenca,252031
calvin bassey,263110
samuel amissah,365953
tom cairney,140033
harrison reed,193246
sander berge,218998
sasa lukic,222300
ryan sessegnon,241328
emile smith rowe,266697
oscar bobb,307111
seth ridgeon,400112
josh king,409541
raul jimenez,167060
alex iwobi,175063
harry wilson,194801
samuel chukwueze,228298
rodrigo muniz,301525
kevin,330764
jonah kusi-asare,369363
mark travers,7441
tom king,148515
jordan pickford,159443
michael keane,4946
seamus coleman,131639
james tarkowski,155226
vitaliy mykolenko,262594
nathan patterson,271191
jake o'brien,283586
jarrad branthwaite,286965
reece welch,317858
adam aznou,379032
idrissa gueye,377170
jack grealish,172850
kiernan dewsbury-hall,252389
james garner,276220
carlos alcaraz,302162
tim iroegbunam,310599
merlin rohl,311963
tyler dibling,340640
callum bates,355149
harrison armstrong,378458
malik olayiwola,410322
iliman ndiaye,268641
dwight mcneil,273495
beto,289511
thierno barry,301166
braiden graham,367559
tyrique george,368864
martin dubravka,126703
vaclav hladky,223246
max weiß,329987
kyle walker,129358
connor roberts,177110
axel tuanzebe,229524
joe worrall,232291
jordan beyer,271218
lucas pires,285790
hjalmar ekdal,290413
maxime esteve,318316
bashir humphreys,325541
quilindschy hartman,346210
murray campbell,347290
james ward-prowse,163111
josh laurent,190936
josh cullen,207146
florentino,256607
hannibal mejbri,300007
lesley ugochukwu,309563
ellis clark,366750
marley leuluai,376510
oliver pimlott,409739
george brierley,411241
ashley barnes,105405
marcus edwards,225552
jacob bruun larsen,233073
zian flemming,261598
lyle foster,264751
mike tresor,280895
armando broja,291535
enock agyei,299600
jaidon anthony,307657
zeki amdouni,320757
loum tchaouna,324541
brandon pouani,411240
lukasz fabianski,77403
alphonse areola,148987
mads hermansen,281564
finlay herrick,361263
max kilman,229967
axel disasi,231718
kyle walker-peters,235129
konstantinos mavropanos,242705
aaron wan-bissaka,250945
jean-clair todibo,277327
oliver scarles,350502
el hadji malick diouf,359796
ezra mayers,380182
airidas golambeckis,386204
tomas soucek,230666
freddie potts,310325
soungoutou magassa,333240
keiber lamadrid,336864
mateus fernandes,346820
lewis orford,351382
mohamadou kante,368333
callum wilson,138924
jarrod bowen,201089
adama traore,231367
valentin castellanos,252933
