espn_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,is_combo_player
258808,10444640,10444640,295214,135156,2026-03-12T18:15:00.000-04:00,,,Nicolás Guerra,Attacker,INSTITUTO,TALLERES,SOCCER,4.5,Shots,shots,Demon,,2,,,,,,OK,0
252617,10444651,10444651,295758,135156,2026-03-12T18:15:00.000-04:00,,,Ronaldo Martínez,Attacker,TALLERES,INSTITUTO,SOCCER,4.5,Shots,shots,Demon,,2,,,,,,OK,0
70912,10444529,10444529,274079,135156,2026-03-12T18:15:00.000-04:00,,,Alex Luna,Midfielder,INSTITUTO,TALLERES,SOCCER,3.5,Shots,shots,Demon,,2,,,,,,OK,0
,10444547,10444547,219890,135156,2026-03-12T18:15:00.000-04:00,,,Ulises Ortegoza,Midfielder,TALLERES,INSTITUTO,SOCCER,3.5,Shots,shots,Demon,,2,https://static.prizepicks.com/images/manual/Ulises Ortegoza.png,,,,,UNRESOLVED_SINGLE,0
402605,10444579,10444579,247666,135156,2026-03-12T18:15:00.000-04:00,,,Giovanni Baroni,Midfielder,TALLERES,INSTITUTO,SOCCER,3.5,Shots,shots,Demon,,2,,,,,,OK,0
298852,10444631,10444631,246222,135156,2026-03-12T18:15:00.000-04:00,,,Matías Fonseca,Attacker,INSTITUTO,TALLERES,SOCCER,3.5,Shots,shots,Demon,,2,https://static.prizepicks.com/images/manual/Matías_Fonseca.png,,,,,OK,0
258808,10444639,10444639,295214,135156,2026-03-12T18:15:00.000-04:00,,,Nicolás Guerra,Attacker,INSTITUTO,TALLERES,SOCCER,3.5,Shots,shots,Demon,,1,,,,,,OK,0
252617,10444650,10444650,295758,135156,2026-03-12T18:15:00.000-04:00,,,Ronaldo Martínez,Attacker,TALLERES,INSTITUTO,SOCCER,3.5,Shots,shots,Demon,,1,,,,,,OK,0
70912,10444528,10444528,274079,135156,2026-03-12T18:15:00.000-04:00,,,Alex Luna,Midfielder,INSTITUTO,TALLERES,SOCCER,2.5,Shots,shots,Demon,,1,,,,,,OK,0
,10444546,10444546,219890,135156,2026-03-12T18:15:00.000-04:00,,,Ulises Ortegoza,Midfielder,TALLERES,INSTITUTO,SOCCER,2.5,Shots,shots,Demon,,1,https://static.prizepicks.com/images/manual/Ulises Ortegoza.png,,,,,UNRESOLVED_SINGLE,0
402606,10444551,10444551,245947,135156,2026-03-12T18:15:00.000-04:00,,,Emiliano Chiavassa,Attacker,TALLERES,INSTITUTO,SOCCER,2.5,Shots,shots,Demon,,2,https://static.prizepicks.com/images/manual/EmilianoMiguelChiavassa.png,,,,,OK,0
269808,10444573,10444573,192294,135156,2026-03-12T18:15:00.000-04:00,,,Gastón Lodico,Midfielder,INSTITUTO,TALLERES,SOCCER,2.5,Shots,shots,Demon,,2,https://static.prizepicks.com/images/players/placeholder.png,,,,,OK,0
402605,10444578,10444578,247666,135156,2026-03-12T18:15:00.000-04:00,,,Giovanni Baroni,Midfielder,TALLERES,INSTITUTO,SOCCER,2.5,Shots,shots,Demon,,1,,,,,,OK,0
176058,10444593,10444593,246310,135156,2026-03-12T18:15:00.000-04:00,,,Jhon Córdoba,Midfielder,INSTITUTO,TALLERES,SOCCER,2.5,Shots,shots,Demon,,2,https://static.prizepicks.com/images/manual/Jhon_Emerson_Córdoba_Mosquera.png,,,,,OK,0
307620,10444618,10444618,249010,135156,2026-03-12T18:15:00.000-04:00,,,Mateo Cáceres,Midfielder,TALLERES,INSTITUTO,SOCCER,2.5,Shots,shots,Demon,,2,,,,,,OK,0
298852,10444630,10444630,246222,135156,2026-03-12T18:15:00.000-04:00,,,Matías Fonseca,Attacker,INSTITUTO,TALLERES,SOCCER,2.5,Shots,shots,Demon,,1,https://static.prizepicks.com/images/manual/Matías_Fonseca.png,,,,,OK,0
258808,10444638,10444638,295214,135156,2026-03-12T18:15:00.000-04:00,,,Nicolás Guerra,Attacker,INSTITUTO,TALLERES,SOCCER,2.5,Shots,shots,Goblin,,1,,,,,,OK,0
258808,10444642,10444642,295214,135156,2026-03-12T18:15:00.000-04:00,,,Nicolás Guerra,Attacker,INSTITUTO,TALLERES,SOCCER,2.5,Shots On Target,shots_on_target,Demon,,2,,,,,,OK,0
252617,10444654,10444654,295758,135156,2026-03-12T18:15:00.000-04:00,,,Ronaldo Martínez,Attacker,TALLERES,INSTITUTO,SOCCER,2.5,Shots On Target,shots_on_target,Demon,,2,,,,,,OK,0
70912,10444527,10444527,274079,135156,2026-03-12T18:15:00.000-04:00,,,Alex Luna,Midfielder,INSTITUTO,TALLERES,SOCCER,1.5,Shots,shots,Goblin,,1,,,,,,OK,0
70912,10444530,10444530,274079,135156,2026-03-12T18:15:00.000-04:00,,,Alex Luna,Midfielder,INSTITUTO,TALLERES,SOCCER,1.5,Shots On Target,shots_on_target,Demon,,1,,,,,,OK,0
276302,10444534,10444534,274865,135156,2026-03-12T18:15:00.000-04:00,,,Augusto Schott,Defender,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Demon,,1,,,,,,OK,0
,10444545,10444545,219890,135156,2026-03-12T18:15:00.000-04:00,,,Ulises Ortegoza,Midfielder,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Goblin,,1,https://static.prizepicks.com/images/manual/Ulises Ortegoza.png,,,,,UNRESOLVED_SINGLE,0
,10444549,10444549,219890,135156,2026-03-12T18:15:00.000-04:00,,,Ulises Ortegoza,Midfielder,TALLERES,INSTITUTO,SOCCER,1.5,Shots On Target,shots_on_target,Demon,,1,https://static.prizepicks.com/images/manual/Ulises Ortegoza.png,,,,,UNRESOLVED_SINGLE,0
402606,10444552,10444552,245947,135156,2026-03-12T18:15:00.000-04:00,,,Emiliano Chiavassa,Attacker,TALLERES,INSTITUTO,SOCCER,1.5,Shots On Target,shots_on_target,Demon,,2,https://static.prizepicks.com/images/manual/EmilianoMiguelChiavassa.png,,,,,OK,0
70182,10444562,10444562,295037,135156,2026-03-12T18:15:00.000-04:00,,,Franco Jara,Attacker,INSTITUTO,TALLERES,SOCCER,1.5,Shots On Target,shots_on_target,Demon,,1,,,,,,OK,0
192847,10444566,10444566,251019,135156,2026-03-12T18:15:00.000-04:00,,,Gabriel Báez,Defender,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Demon,,1,,,,,,OK,0
269808,10444572,10444572,192294,135156,2026-03-12T18:15:00.000-04:00,,,Gastón Lodico,Midfielder,INSTITUTO,TALLERES,SOCCER,1.5,Shots,shots,Demon,,1,https://static.prizepicks.com/images/players/placeholder.png,,,,,OK,0
402605,10444577,10444577,247666,135156,2026-03-12T18:15:00.000-04:00,,,Giovanni Baroni,Midfielder,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Goblin,,1,,,,,,OK,0
402605,10444580,10444580,247666,135156,2026-03-12T18:15:00.000-04:00,,,Giovanni Baroni,Midfielder,TALLERES,INSTITUTO,SOCCER,1.5,Shots On Target,shots_on_target,Demon,,1,,,,,,OK,0
176058,10444592,10444592,246310,135156,2026-03-12T18:15:00.000-04:00,,,Jhon Córdoba,Midfielder,INSTITUTO,TALLERES,SOCCER,1.5,Shots,shots,Demon,,1,https://static.prizepicks.com/images/manual/Jhon_Emerson_Córdoba_Mosquera.png,,,,,OK,0
176058,10444594,10444594,246310,135156,2026-03-12T18:15:00.000-04:00,,,Jhon Córdoba,Midfielder,INSTITUTO,TALLERES,SOCCER,1.5,Shots On Target,shots_on_target,Demon,,1,https://static.prizepicks.com/images/manual/Jhon_Emerson_Córdoba_Mosquera.png,,,,,OK,0
139390,10444599,10444599,247903,135156,2026-03-12T18:15:00.000-04:00,,,José Palomino,Defender,TALLERES,INSTITUTO,SOCCER,1.5,Shots,shots,Demon,,2,,,,,,OK,0
131717,10444604,10444604,274083,135156,2026-03-12T18:15:00.000-04:00,,,Juan Méndez,Midfielder,INSTITUTO,TALLERES,SOCCER,1.5,Shots,shots,Demon,,1,,,,,,OK,0
