Watchlist 'C. StochFast M'

C. StochFast M
Symbol,Last,%Change,Volume,perc chg,rVOLD
PACB,2.0500,+0.49%,"7,257,722",3.41,0.64
ABEV,2.2400,+1.82%,"14,828,081",1.81,1.03
OPEN,2.2800,+2.70%,"10,293,621",3.17,0.68
BBD,2.5000,+2.88%,"15,259,395",2.04,0.9
SIRI,2.59000,+0.78%,"18,331,223",1.56,0.86
LCID,2.7900,0.00%,"20,190,841",0.36,0.85
BB,2.81000,+0.72%,"16,065,502",8.99,1.62
PLUG,3.00,-0.33%,"24,909,852",3.05,0.71
LAC,3.10,-2.21%,"4,600,327",-1.28,0.86
NYCB,3.19,+2.57%,"11,602,996",2.9,0.64
GGB,3.28,+1.55%,"4,824,420",2.46,0.48
SAVE,3.61,-8.84%,"5,842,664",-6.38,0.94
PTON,3.74,-1.06%,"9,726,775",0.0,0.54
HTZ,3.79,-4.53%,"15,244,172",-5.01,1.95
NIO,4.91,-6.83%,"84,453,807",-1.01,1.5
NOVA,5.20,-7.47%,"6,357,057",-3.12,0.75
KOS,5.63,-1.75%,"6,046,578",-1.22,0.85
QS,5.69,0.00%,"2,682,079",1.6,0.44
AMC,5.79,+12.43%,"131,091,555",28.71,2.1
VLY,6.74,-0.44%,"5,587,787",-1.03,1.13
SHLS,7.02,-2.77%,"4,128,755",-1.67,0.75
SOFI,7.08,+2.46%,"26,131,014",2.46,0.63
WBD,8.34,+0.48%,"29,863,411",1.33,0.99
XPEV,8.36,+0.12%,"9,192,482",1.21,0.6
PTEN,10.35,0.00%,"4,896,649",0.19,0.8
AAL,11.43,-1.64%,"35,840,572",-1.55,1.03
VALE,11.62,+1.84%,"28,376,176",1.75,1.05
RIVN,11.74,+2.53%,"28,721,395",3.99,0.74
