player,team,prop_type,actual
Amare Bynum,OSU,Points,0.0
Amare Bynum,OSU,Rebounds,2.0
Amare Bynum,OSU,Assists,0.0
Amare Bynum,OSU,Blocked Shots,0.0
Amare Bynum,OSU,Steals,0.0
Amare Bynum,OSU,Turnovers,0.0
Amare Bynum,OSU,FG Made,0.0
Amare Bynum,OSU,FG Attempted,5.0
Amare Bynum,OSU,3-PT Made,0.0
Amare Bynum,OSU,3-PT Attempted,2.0
Amare Bynum,OSU,Two Pointers Made,0.0
Amare Bynum,OSU,Two Pointers Attempted,3.0
Amare Bynum,OSU,Free Throws Made,0.0
Amare Bynum,OSU,Free Throws Attempted,0.0
Amare Bynum,OSU,Offensive Rebounds,0.0
Amare Bynum,OSU,Defensive Rebounds,2.0
Amare Bynum,OSU,Personal Fouls,4.0
Amare Bynum,OSU,Fantasy Score,2.5
Amare Bynum,OSU,Pts+Rebs+Asts,2.0
Amare Bynum,OSU,PRA,2.0
Amare Bynum,OSU,Pts+Rebs,2.0
Amare Bynum,OSU,Pts+Asts,0.0
Amare Bynum,OSU,Rebs+Asts,2.0
Amare Bynum,OSU,Blks+Stls,0.0
Christoph Tilly,OSU,Points,10.0
Christoph Tilly,OSU,Rebounds,8.0
Christoph Tilly,OSU,Assists,1.0
Christoph Tilly,OSU,Blocked Shots,1.0
Christoph Tilly,OSU,Steals,2.0
Christoph Tilly,OSU,Turnovers,0.0
Christoph Tilly,OSU,FG Made,5.0
Christoph Tilly,OSU,FG Attempted,6.0
Christoph Tilly,OSU,3-PT Made,0.0
Christoph Tilly,OSU,3-PT Attempted,0.0
Christoph Tilly,OSU,Two Pointers Made,5.0
Christoph Tilly,OSU,Two Pointers Attempted,6.0
Christoph Tilly,OSU,Free Throws Made,0.0
Christoph Tilly,OSU,Free Throws Attempted,3.0
Christoph Tilly,OSU,Offensive Rebounds,0.0
Christoph Tilly,OSU,Defensive Rebounds,8.0
Christoph Tilly,OSU,Personal Fouls,2.0
Christoph Tilly,OSU,Fantasy Score,32.0
Christoph Tilly,OSU,Pts+Rebs+Asts,19.0
Christoph Tilly,OSU,PRA,19.0
Christoph Tilly,OSU,Pts+Rebs,18.0
Christoph Tilly,OSU,Pts+Asts,11.0
Christoph Tilly,OSU,Rebs+Asts,9.0
Christoph Tilly,OSU,Blks+Stls,3.0
Bruce Thornton,OSU,Points,32.0
Bruce Thornton,OSU,Rebounds,4.0
Bruce Thornton,OSU,Assists,2.0
Bruce Thornton,OSU,Blocked Shots,0.0
Bruce Thornton,OSU,Steals,2.0
