player,team,prop_norm,line,nba_player_id,player_1,player_2,team_1,team_2,is_combo_player
Dennis Schröder,CLE,fantasy,20.0,203471,,,,,0
Dennis Schröder,CLE,pra,15.5,203471,,,,,0
Dennis Schröder,CLE,pts,14.5,203471,,,,,0
Dennis Schröder,CLE,pr,11.5,203471,,,,,0
Dennis Schröder,CLE,ra,8.5,203471,,,,,0
Dennis Schröder,CLE,ra,7.5,203471,,,,,0
Dennis Schröder,CLE,ast,6.5,203471,,,,,0
Dennis Schröder,CLE,ra,6.5,203471,,,,,0
Dennis Schröder,CLE,ast,5.5,203471,,,,,0
Dennis Schröder,CLE,ra,5.5,203471,,,,,0
Dennis Schröder,CLE,ast,4.5,203471,,,,,0
Dennis Schröder,CLE,reb,4.5,203471,,,,,0
Dennis Schröder,CLE,ast,3.5,203471,,,,,0
Dennis Schröder,CLE,fgm,3.5,203471,,,,,0
Dennis Schröder,CLE,reb,3.5,203471,,,,,0
Dennis Schröder,CLE,twopointersattempted,3.5,203471,,,,,0
Dennis Schröder,CLE,3ptmade,2.5,203471,,,,,0
Dennis Schröder,CLE,ast,2.5,203471,,,,,0
Dennis Schröder,CLE,stl,2.5,203471,,,,,0
Dennis Schröder,CLE,reb,2.5,203471,,,,,0
Dennis Schröder,CLE,3ptattempted,2.5,203471,,,,,0
Dennis Schröder,CLE,3ptmade,1.5,203471,,,,,0
Dennis Schröder,CLE,stocks,1.5,203471,,,,,0
Dennis Schröder,CLE,personalfouls,1.5,203471,,,,,0
Dennis Schröder,CLE,reb,1.5,203471,,,,,0
Dennis Schröder,CLE,stl,1.5,203471,,,,,0
Dennis Schröder,CLE,freethrowsattempted,1.5,203471,,,,,0
Dennis Schröder,CLE,twopointersmade,1.5,203471,,,,,0
Dennis Schröder,CLE,3ptmade,0.5,203471,,,,,0
Dennis Schröder,CLE,blk,0.5,203471,,,,,0
Dennis Schröder,CLE,stl,0.5,203471,,,,,0
Dennis Schröder,CLE,tov,0.5,203471,,,,,0
Nikola Jokić,DEN,fantasy,59.0,203999,,,,,0
Nikola Jokić,DEN,pra,56.5,203999,,,,,0
Nikola Jokić,DEN,pra,54.5,203999,,,,,0
Nikola Jokić,DEN,pr,54.5,203999,,,,,0
Nikola Jokić,DEN,pra,50.5,203999,,,,,0
Nikola Jokić,DEN,pa,49.5,203999,,,,,0
Nikola Jokić,DEN,pr,49.5,203999,,,,,0
Nikola Jokić,DEN,pa,44.5,203999,,,,,0
Nikola Jokić,DEN,pr,44.5,203999,,,,,0
Nikola Jokić,DEN,pra,44.5,203999,,,,,0
Nikola Jokić,DEN,pr,40.5,203999,,,,,0
Nikola Jokić,DEN,pts,39.5,203999,,,,,0
Nikola Jokić,DEN,pa,39.5,203999,,,,,0
Nikola Jokić,DEN,pr,39.5,203999,,,,,0
Nikola Jokić,DEN,pa,37.5,203999,,,,,0
Nikola Jokić,DEN,pts,34.5,203999,,,,,0
Nikola Jokić,DEN,pa,34.5,203999,,,,,0
Nikola Jokić,DEN,pr,34.5,203999,,,,,0
Nikola Jokić,DEN,pts,29.5,203999,,,,,0
Nikola Jokić,DEN,pts,27.5,203999,,,,,0
Nikola Jokić,DEN,ra,27.5,203999,,,,,0
Nikola Jokić,DEN,pts,26.5,203999,,,,,0
Nikola Jokić,DEN,ra,25.5,203999,,,,,0
Nikola Jokić,DEN,pts,25.5,203999,,,,,0
Nikola Jokić,DEN,pts,24.5,203999,,,,,0
Nikola Jokić,DEN,ra,22.5,203999,,,,,0
Nikola Jokić,DEN,ra,20.5,203999,,,,,0
Nikola Jokić,DEN,ra,19.5,203999,,,,,0
Jonas Valančiūnas,DEN,pr,19.5,202685,,,,,0
Nikola Jokić,DEN,reb,17.5,203999,,,,,0
Nikola Jokić,DEN,reb,15.5,203999,,,,,0
Jonas Valančiūnas,DEN,pts,14.5,202685,,,,,0
Nikola Jokić,DEN,twopointersattempted,14.5,203999,,,,,0
Jonas Valančiūnas,DEN,pr,14.5,202685,,,,,0
Nikola Jokić,DEN,ast,13.5,203999,,,,,0
Nikola Jokić,DEN,reb,13.5,203999,,,,,0
Nikola Jokić,DEN,reb,13.0,203999,,,,,0
Nikola Jokić,DEN,ast,12.5,203999,,,,,0
Nikola Jokić,DEN,ast,11.5,203999,,,,,0
Nikola Jokić,DEN,reb,11.5,203999,,,,,0
Jonas Valančiūnas,DEN,pr,11.5,202685,,,,,0
Jonas Valančiūnas,DEN,pts,11.5,202685,,,,,0
Nikola Jokić,DEN,reb,10.5,203999,,,,,0
Nikola Jokić,DEN,defensiverebounds,10.0,203999,,,,,0
Jonas Valančiūnas,DEN,pts,9.5,202685,,,,,0
Jonas Valančiūnas,DEN,pr,9.5,202685,,,,,0
Nikola Jokić,DEN,ast,9.5,203999,,,,,0
Nikola Jokić,DEN,fgm,9.5,203999,,,,,0
Nikola Jokić,DEN,ast,8.5,203999,,,,,0
Nikola Jokić,DEN,ast,7.5,203999,,,,,0
Jonas Valančiūnas,DEN,pr,7.5,202685,,,,,0
Jonas Valančiūnas,DEN,pts,6.5,202685,,,,,0
Jonas Valančiūnas,DEN,reb,6.5,202685,,,,,0
Nikola Jokić,DEN,freethrowsattempted,6.5,203999,,,,,0
Jonas Valančiūnas,DEN,reb,5.5,202685,,,,,0
Nikola Jokić,DEN,freethrowsmade,5.5,203999,,,,,0
Jonas Valančiūnas,DEN,pts,5.5,202685,,,,,0
Jonas Valančiūnas,DEN,fga,4.5,202685,,,,,0
Jonas Valančiūnas,DEN,pts,4.5,202685,,,,,0
Jonas Valančiūnas,DEN,reb,4.5,202685,,,,,0
Jonas Valančiūnas,DEN,twopointersattempted,4.5,202685,,,,,0
Nikola Jokić,DEN,points1st3minutes,4.5,203999,,,,,0
Nikola Jokić,DEN,3ptmade,3.5,203999,,,,,0
Jonas Valančiūnas,DEN,reb,3.5,202685,,,,,0
Nikola Jokić,DEN,tov,3.5,203999,,,,,0
Nikola Jokić,DEN,points1st3minutes,3.5,203999,,,,,0
Nikola Jokić,DEN,quarterswith3+points,3.5,203999,,,,,0
Nikola Jokić,DEN,quarterswith5+points,3.5,203999,,,,,0
Nikola Jokić,DEN,offensiverebounds,3.0,203999,,,,,0
Jonas Valančiūnas,DEN,defensiverebounds,3.0,202685,,,,,0
Nikola Jokić,DEN,3ptmade,2.5,203999,,,,,0
Jonas Valančiūnas,DEN,ast,2.5,202685,,,,,0
Jonas Valančiūnas,DEN,fgm,2.5,202685,,,,,0
Jonas Valančiūnas,DEN,reb,2.5,202685,,,,,0
Nikola Jokić,DEN,stl,2.5,203999,,,,,0
Nikola Jokić,DEN,personalfouls,2.5,203999,,,,,0
Nikola Jokić,DEN,stocks,2.5,203999,,,,,0
Nikola Jokić,DEN,points1st3minutes,2.5,203999,,,,,0
Nikola Jokić,DEN,rebounds1st3minutes,2.5,203999,,,,,0
Nikola Jokić,DEN,3ptmade,1.5,203999,,,,,0
Jonas Valančiūnas,DEN,freethrowsattempted,1.5,202685,,,,,0
Jonas Valančiūnas,DEN,personalfouls,1.5,202685,,,,,0
Nikola Jokić,DEN,blk,1.5,203999,,,,,0
Nikola Jokić,DEN,stl,1.5,203999,,,,,0
Jonas Valančiūnas,DEN,offensiverebounds,1.5,202685,,,,,0
Nikola Jokić,DEN,assists1st3minutes,1.5,203999,,,,,0
Nikola Jokić,DEN,points1st3minutes,1.5,203999,,,,,0
