date,event_id,team_abbr,opponent_abbr,espn_athlete_id,player_name,MIN,PTS,REB,AST,STL,BLK,TO,FG,FGA,3PT,3PTA,FT,FTA
2026-02-27,401825544,MICH,,5175737,Yaxel Lendeborg,39.0,16.0,7.0,4.0,2.0,2.0,1.0,,,,,,
2026-02-27,401825544,MICH,,4873153,Morez Johnson Jr.,33.0,19.0,11.0,1.0,1.0,0.0,1.0,,,,,,
2026-02-27,401825544,MICH,,5174983,Aday Mara,22.0,19.0,5.0,2.0,0.0,2.0,2.0,,,,,,
2026-02-27,401825544,MICH,,4869764,Elliot Cadeau,27.0,7.0,3.0,5.0,1.0,0.0,0.0,,,,,,
2026-02-27,401825544,MICH,,4433138,Nimari Burnett,17.0,3.0,0.0,1.0,1.0,0.0,1.0,,,,,,
2026-02-27,401825544,MICH,,4684596,Will Tschetter,17.0,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-27,401825544,MICH,,5214641,L.J. Cason,13.0,9.0,1.0,2.0,1.0,0.0,2.0,,,,,,
2026-02-27,401825544,MICH,,5105836,Roddy Gayle Jr.,10.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,
2026-02-27,401825544,MICH,,5041954,Trey McKenney,22.0,6.0,0.0,0.0,0.0,0.0,2.0,,,,,,
2026-02-27,401825544,MICH,,5244505,Oscar Goodman,,,,,,,,,,,,,
2026-02-27,401825544,MICH,,5174787,Harrison Hochberg,,,,,,,,,,,,,
2026-02-27,401825544,MICH,,5311988,Malick Kordel,,,,,,,,,,,,,
2026-02-27,401825544,MICH,,5311987,Ricky Liburd,,,,,,,,,,,,,
2026-02-27,401825544,MICH,,5239559,Howard Eisley Jr.,,,,,,,,,,,,,
2026-02-27,401825544,MICH,,5174808,Winters Grady,,,,,,,,,,,,,
2026-02-27,401825544,MICH,,5106648,Charlie May,,,,,,,,,,,,,
2026-02-27,401825544,ILL,,5311832,David Mirkovic,36.0,12.0,10.0,2.0,1.0,1.0,2.0,,,,,,
2026-02-27,401825544,ILL,,5176150,Jake Davis,23.0,6.0,1.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-27,401825544,ILL,,5214642,Tomislav Ivisic,27.0,7.0,4.0,1.0,0.0,1.0,0.0,,,,,,
2026-02-27,401825544,ILL,,5254165,Keaton Wagler,38.0,23.0,4.0,3.0,2.0,0.0,4.0,,,,,,
2026-02-27,401825544,ILL,,4684269,Kylan Boswell,34.0,15.0,1.0,2.0,2.0,0.0,2.0,,,,,,
2026-02-27,401825544,ILL,,5177736,Ben Humrichous,19.0,5.0,3.0,1.0,0.0,0.0,0.0,,,,,,
2026-02-27,401825544,ILL,,5174665,Zvonimir Ivisic,11.0,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,
2026-02-27,401825544,ILL,,5175007,Andrej Stojakovic,12.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,
2026-02-27,401825544,ILL,,5173645,Jason Jakstys,,,,,,,,,,,,,
2026-02-27,401825544,ILL,,5311835,Mihailo Petrovic,,,,,,,,,,,,,
2026-02-27,401825544,ILL,,5311834,Blake Fagbemi,,,,,,,,,,,,,
2026-02-27,401825544,ILL,,5311833,Brandon Lee,,,,,,,,,,,,,
2026-02-27,401825544,ILL,,5121952,AJ Redd,,,,,,,,,,,,,
2026-02-27,401825544,ILL,,5105792,Ty Rodgers,,,,,,,,,,,,,
2026-02-27,401814590,M-OH,,5105859,Antwone Woolfolk,30.0,9.0,5.0,2.0,0.0,1.0,2.0,,,,,,
2026-02-27,401814590,M-OH,,5313368,Trey Perry,30.0,14.0,1.0,3.0,2.0,0.0,1.0,,,,,,
2026-02-27,401814590,M-OH,,5243053,Brant Byers,23.0,2.0,1.0,0.0,1.0,0.0,0.0,,,,,,
2026-02-27,401814590,M-OH,,5106674,Peter Suder,27.0,18.0,3.0,0.0,1.0,0.0,3.0,,,,,,
2026-02-27,401814590,M-OH,,5093252,Eian Elmer,34.0,10.0,5.0,1.0,1.0,0.0,1.0,,,,,,
2026-02-27,401814590,M-OH,,5313373,Kyle Waltz,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-27,401814590,M-OH,,5313371,Tyler Robbins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-27,401814590,M-OH,,5176313,Almar Atlason,27.0,16.0,3.0,2.0,0.0,0.0,0.0,,,,,,
2026-02-27,401814590,M-OH,,5313370,Justin Kirby,28.0,0.0,8.0,0.0,0.0,0.0,1.0,,,,,,
2026-02-27,401814590,M-OH,,5243054,Ethan Wright,,,,,,,,,,,,,
2026-02-27,401814590,M-OH,,5176215,Jackson Kotecki,,,,,,,,,,,,,
2026-02-27,401814590,M-OH,,5313372,Leshawn Stowers,,,,,,,,,,,,,
2026-02-27,401814590,M-OH,,5313369,Brady Ganley,,,,,,,,,,,,,
2026-02-27,401814590,M-OH,,5176216,Blake Anderson,,,,,,,,,,,,,
2026-02-27,401814590,M-OH,,5176212,Evan Ipsaro,,,,,,,,,,,,,
2026-02-27,401814590,M-OH,,5108031,Eli Yofan,,,,,,,,,,,,,
2026-02-27,401814590,M-OH,,5101653,Luke Skaljac,,,,,,,,,,,,,
2026-02-27,401814590,WMU,,5107999,Max Burton,25.0,4.0,6.0,1.0,0.0,0.0,2.0,,,,,,
2026-02-27,401814590,WMU,,5243096,EJ Ryans,33.0,14.0,4.0,3.0,0.0,0.0,0.0,,,,,,
2026-02-27,401814590,WMU,,5106869,Jayden Brewer,37.0,19.0,11.0,1.0,0.0,0.0,2.0,,,,,,
2026-02-27,401814590,WMU,,5105966,Trey Lewis,26.0,5.0,5.0,2.0,0.0,0.0,0.0,,,,,,
2026-02-27,401814590,WMU,,4683676,Justice Williams,29.0,14.0,3.0,0.0,1.0,0.0,1.0,,,,,,
2026-02-27,401814590,WMU,,5243099,Junior Sileu,3.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-27,401814590,WMU,,5176248,Michael Sulaka,12.0,4.0,1.0,1.0,0.0,0.0,1.0,,,,,,
2026-02-27,401814590,WMU,,5314285,Carson Vis,19.0,7.0,2.0,0.0,0.0,0.0,1.0,,,,,,
2026-02-27,401814590,WMU,,5314283,Sharod Barnes,13.0,0.0,4.0,2.0,1.0,0.0,3.0,,,,,,
2026-02-27,401814590,WMU,,5179286,Jalen Griffith,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-27,401814590,WMU,,5239603,Hudson Ward,,,,,,,,,,,,,
2026-02-27,401814590,WMU,,5314286,Declan Peterson,,,,,,,,,,,,,
2026-02-27,401814590,WMU,,5314287,Camden Thompson,,,,,,,,,,,,,
2026-02-27,401814590,WMU,,5314284,Brady Swartz,,,,,,,,,,,,,
2026-02-27,401814590,WMU,,5264646,Nicholas Errica,,,,,,,,,,,,,
