Sport,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,A,1.29,Tobe Awaka,ARIZ,ISU,Fantasy Score,Goblin,15,OVER,7.573799999999999,22.5738,0.95,22.12,23.759,5,0,,03/02 09:05PM,fantasy score,
CBB,A,1.28,Ivan Kharchenkov,ARIZ,ISU,Fantasy Score,Goblin,18,OVER,8.173000000000002,26.173,0.95,27.68,24.405,5,0,,03/02 09:05PM,fantasy score,
CBB,A,1.2,Ivan Kharchenkov,ARIZ,ISU,Points,Goblin,8.5,OVER,3.795399999999999,12.2954,0.75,13.2,11.227,4,1,,03/02 09:00PM,pts,
CBB,A,1.2,Cameron Boozer,DUKE,NCST,Fantasy Score,Goblin,36,OVER,6.379599999999996,42.3796,0.9,42.58,43.933,5,0,Avg,03/02 07:05PM,fantasy score,
CBB,A,1.19,Patrick Ngongba,DUKE,NCST,Fantasy Score,Goblin,17,OVER,5.785999999999998,22.786,0.8,21.88,24.055,4,1,Avg,03/02 07:05PM,fantasy score,
CBB,A,1.19,Isaiah Evans,DUKE,NCST,Fantasy Score,Goblin,17,OVER,5.401400000000002,22.4014,0.8,22.34,23.952,4,1,Avg,03/02 07:05PM,fantasy score,
CBB,A,1.17,Koa Peat,ARIZ,ISU,Points,Goblin,7.5,OVER,3.9,11.4,0.6499999999999999,10.4,13,3,2,,03/02 09:00PM,pts,
CBB,A,1.16,Tamin Lipsey,ISU,ARIZ,Fantasy Score,Goblin,21,OVER,6.302999999999997,27.303,1,26.24,28.69,5,0,Elite,03/02 09:05PM,fantasy score,
CBB,A,1.16,Brayden Burries,ARIZ,ISU,Points,Goblin,12.5,OVER,4.343599999999999,16.8436,0.7,15.6,17.318,3,2,,03/02 09:00PM,pts,
CBB,A,1.15,Caleb Foster,DUKE,NCST,Fantasy Score,Goblin,13,OVER,3.715200000000003,16.7152,0.75,16.42,16.771,4,1,Avg,03/02 07:05PM,fantasy score,
CBB,A,1.15,Ven-Allen Lubin,NCST,DUKE,Fantasy Score,Goblin,21,OVER,9.529200000000003,30.5292,1,31.62,28.341,5,0,Elite,03/02 07:05PM,fantasy score,
CBB,A,1.14,Brayden Burries,ARIZ,ISU,Points,Goblin,13.5,OVER,3.343599999999999,16.8436,0.7,15.6,17.318,3,2,,03/02 09:00PM,pts,
CBB,A,1.13,Koa Peat,ARIZ,ISU,Fantasy Score,Goblin,19,OVER,3.332599999999999,22.3326,0.75,20.84,25.363,4,1,,03/02 09:05PM,fantasy score,
CBB,A,1.13,Brayden Burries,ARIZ,ISU,Fantasy Score,Goblin,24.5,OVER,7.0002,31.5002,0.7,29.82,31.891,3,2,,03/02 09:05PM,fantasy score,
CBB,A,1.12,Anthony Dell'Orso,ARIZ,ISU,Points,Standard,7.5,OVER,3.634600000000001,11.1346,0.7,13.2,8.273,4,1,,03/02 09:00PM,pts,
CBB,A,1.11,Blake Buchanan,ISU,ARIZ,Pts+Rebs,Goblin,9.5,OVER,4.350000000000001,13.85,0.85,14.6,14,5,0,Elite,03/02 09:00PM,pr,
CBB,A,1.11,Ivan Kharchenkov,ARIZ,ISU,Points,Goblin,9.5,OVER,2.795399999999999,12.2954,0.75,13.2,11.227,4,1,,03/02 09:00PM,pts,
CBB,A,1.1,Koa Peat,ARIZ,ISU,Points,Goblin,8.5,OVER,2.9,11.4,0.6499999999999999,10.4,13,3,2,,03/02 09:00PM,pts,
CBB,A,1.09,Jaden Bradley,ARIZ,ISU,Fantasy Score,Goblin,22,OVER,4.4312,26.4312,0.6499999999999999,25.94,28.336,3,2,,03/02 09:05PM,fantasy score,
CBB,A,1.09,Brayden Burries,ARIZ,ISU,Pts+Rebs,Goblin,19.5,OVER,2.971800000000002,22.4718,0.7,21.2,22.909,3,2,,03/02 09:00PM,pr,
