player,team,prop_type,actual,SOG,G,A,PTS,HIT,BS,PIM,PM,PPP,FOW,TOI
Tyler Tucker,STL,PIM,17.0,0.0,0.0,0.0,0.0,,0.0,17.0,1.0,,,
Ross Johnston,ANA,PIM,14.0,0.0,0.0,0.0,0.0,,0.0,14.0,0.0,,,
Charle-Edouard D'Astous,TB,PIM,12.0,0.0,0.0,0.0,0.0,,0.0,12.0,-1.0,,,
Bowen Byram,BUF,PIM,12.0,0.0,0.0,3.0,3.0,,0.0,12.0,0.0,,,
Brandon Hagel,TB,PIM,11.0,0.0,1.0,1.0,2.0,,1.0,11.0,1.0,,,
Erik Cernak,TB,PIM,9.0,0.0,0.0,0.0,0.0,,3.0,9.0,0.0,,,
Darren Raddysh,TB,PIM,7.0,0.0,0.0,3.0,3.0,,1.0,7.0,2.0,,,
Michael Kesselring,BUF,PIM,7.0,0.0,0.0,1.0,1.0,,0.0,7.0,1.0,,,
Scott Sabourin,TB,PIM,5.0,0.0,0.0,0.0,0.0,,0.0,5.0,0.0,,,
Beck Malenstyn,BUF,PIM,5.0,0.0,0.0,0.0,0.0,,0.0,5.0,-1.0,,,
Corey Perry,TB,PIM,5.0,0.0,1.0,0.0,1.0,,0.0,5.0,2.0,,,
Sam Carrick,BUF,PIM,5.0,0.0,1.0,0.0,1.0,,0.0,5.0,-2.0,,,
Peyton Krebs,BUF,PIM,5.0,0.0,0.0,0.0,0.0,,0.0,5.0,-3.0,,,
Brent Burns,COL,Blocked Shots,5.0,0.0,0.0,0.0,0.0,,5.0,0.0,-1.0,,,
Rasmus Dahlin,BUF,PIM,5.0,0.0,1.0,2.0,3.0,,1.0,5.0,2.0,,,
Tommy Novak,PIT,Plus/Minus,4.0,0.0,1.0,1.0,2.0,,0.0,0.0,4.0,,,
Oskar Sundqvist,STL,PIM,4.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,,,
Joel Eriksson Ek,MIN,Blocked Shots,4.0,0.0,0.0,1.0,1.0,,4.0,0.0,0.0,,,
Ilya Solovyov,PIT,Blocked Shots,4.0,0.0,0.0,1.0,1.0,,4.0,2.0,0.0,,,
Robert Thomas,STL,Blocked Shots,4.0,0.0,0.0,1.0,1.0,,4.0,0.0,1.0,,,
Esa Lindell,DAL,Blocked Shots,4.0,0.0,0.0,1.0,1.0,,4.0,0.0,0.0,,,
Tage Thompson,BUF,Points,4.0,0.0,0.0,4.0,4.0,,1.0,0.0,-1.0,,,
Jonas Brodin,MIN,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,,,
Tage Thompson,BUF,Assists,4.0,0.0,0.0,4.0,4.0,,1.0,0.0,-1.0,,,
Noah Hanifin,VGK,Blocked Shots,4.0,0.0,1.0,0.0,1.0,,4.0,0.0,1.0,,,
Andrew Copp,DET,PIM,4.0,0.0,0.0,1.0,1.0,,0.0,4.0,1.0,,,
Jake Walman,EDM,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,2.0,2.0,,,
Erik Cernak,TB,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,9.0,0.0,,,
Olen Zellweger,ANA,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Darren Raddysh,TB,Points,3.0,0.0,0.0,3.0,3.0,,1.0,7.0,2.0,,,
Darren Raddysh,TB,Assists,3.0,0.0,0.0,3.0,3.0,,1.0,7.0,2.0,,,
Pavel Zacha,BOS,Points,3.0,0.0,3.0,0.0,3.0,,0.0,0.0,0.0,,,
Ville Koivunen,PIT,Plus/Minus,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,,,
Nikita Kucherov,TB,Points,3.0,0.0,2.0,1.0,3.0,,0.0,2.0,1.0,,,
Michael McCarron,MIN,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Frank Nazar,CHI,Blocked Shots,3.0,0.0,0.0,2.0,2.0,,3.0,0.0,1.0,,,
Alex Vlasic,CHI,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-1.0,,,
Moritz Seider,DET,Points,3.0,0.0,1.0,2.0,3.0,,1.0,0.0,2.0,,,
Jeremy Lauzon,VGK,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-2.0,,,
Ty Emberson,EDM,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-1.0,,,
Connor Murphy,EDM,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Justin Faulk,DET,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Bobby Brink,MIN,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Teuvo Teravainen,CHI,Plus/Minus,3.0,0.0,0.0,2.0,2.0,,1.0,0.0,3.0,,,
Andrew Mangiapane,CHI,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Pavel Mintyukov,ANA,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-2.0,,,
Rasmus Dahlin,BUF,Points,3.0,0.0,1.0,2.0,3.0,,1.0,5.0,2.0,,,
Owen Power,BUF,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,2.0,-4.0,,,
Tyler Bertuzzi,CHI,Plus/Minus,3.0,0.0,1.0,0.0,1.0,,0.0,0.0,3.0,,,
Charlie McAvoy,BOS,Blocked Shots,3.0,0.0,0.0,1.0,1.0,,3.0,0.0,-2.0,,,
