player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Nikola Jokic,DEN,Fantasy Score,87.5,32.0,14.0,13.0,1.0,0.0,3.0,12.0,19.0,3.0,6.0,3.0,5.0,6.0,9.0,13.0,1.0,13.0,0.0,40.0
Shai Gilgeous-Alexander,OKC,Fantasy Score,84.8,35.0,9.0,15.0,1.0,1.0,0.0,14.0,21.0,3.0,7.0,3.0,4.0,4.0,11.0,14.0,1.0,8.0,3.0,39.0
Karl-Anthony Towns,NY,Fantasy Score,73.0,35.0,12.0,7.0,1.0,0.0,3.0,13.0,17.0,3.0,4.0,3.0,6.0,8.0,10.0,13.0,2.0,10.0,6.0,36.0
Jaylin Williams,OKC,Fantasy Score,66.0,29.0,12.0,3.0,2.0,0.0,1.0,10.0,17.0,7.0,11.0,7.0,2.0,4.0,3.0,6.0,0.0,12.0,4.0,40.0
Kyle Filipowski,UTAH,Fantasy Score,60.2,19.0,15.0,5.0,1.0,2.0,4.0,6.0,12.0,1.0,3.0,1.0,6.0,6.0,5.0,9.0,4.0,11.0,1.0,25.0
Nikola Jokic,DEN,PRA,59.0,32.0,14.0,13.0,1.0,0.0,3.0,12.0,19.0,3.0,6.0,3.0,5.0,6.0,9.0,13.0,1.0,13.0,0.0,40.0
Shai Gilgeous-Alexander,OKC,PRA,59.0,35.0,9.0,15.0,1.0,1.0,0.0,14.0,21.0,3.0,7.0,3.0,4.0,4.0,11.0,14.0,1.0,8.0,3.0,39.0
Shai Gilgeous-Alexander,OKC,Pts+Rebs+Asts,59.0,35.0,9.0,15.0,1.0,1.0,0.0,14.0,21.0,3.0,7.0,3.0,4.0,4.0,11.0,14.0,1.0,8.0,3.0,39.0
Nikola Jokic,DEN,Pts+Rebs+Asts,59.0,32.0,14.0,13.0,1.0,0.0,3.0,12.0,19.0,3.0,6.0,3.0,5.0,6.0,9.0,13.0,1.0,13.0,0.0,40.0
Kawhi Leonard,LAC,Fantasy Score,58.8,29.0,7.0,8.0,0.0,2.0,1.0,10.0,19.0,2.0,5.0,2.0,7.0,7.0,8.0,14.0,1.0,6.0,3.0,35.0
Karl-Anthony Towns,NY,Pts+Rebs+Asts,54.0,35.0,12.0,7.0,1.0,0.0,3.0,13.0,17.0,3.0,4.0,3.0,6.0,8.0,10.0,13.0,2.0,10.0,6.0,36.0
Karl-Anthony Towns,NY,PRA,54.0,35.0,12.0,7.0,1.0,0.0,3.0,13.0,17.0,3.0,4.0,3.0,6.0,8.0,10.0,13.0,2.0,10.0,6.0,36.0
Aaron Gordon,DEN,Fantasy Score,53.0,23.0,10.0,3.0,0.0,1.0,1.0,6.0,14.0,2.0,4.0,2.0,9.0,10.0,4.0,10.0,4.0,6.0,2.0,28.0
Jalen Brunson,NY,Fantasy Score,51.0,28.0,4.0,8.0,0.0,1.0,3.0,12.0,23.0,2.0,7.0,2.0,2.0,3.0,10.0,16.0,0.0,4.0,1.0,38.0
Shai Gilgeous-Alexander,OKC,Pts+Asts,50.0,35.0,9.0,15.0,1.0,1.0,0.0,14.0,21.0,3.0,7.0,3.0,4.0,4.0,11.0,14.0,1.0,8.0,3.0,39.0
Karl-Anthony Towns,NY,Pts+Rebs,47.0,35.0,12.0,7.0,1.0,0.0,3.0,13.0,17.0,3.0,4.0,3.0,6.0,8.0,10.0,13.0,2.0,10.0,6.0,36.0
Jamal Murray,DEN,Fantasy Score,46.5,21.0,8.0,6.0,1.0,0.0,0.0,9.0,23.0,0.0,4.0,0.0,3.0,3.0,9.0,19.0,2.0,6.0,3.0,37.0
Nikola Jokic,DEN,Pts+Rebs,46.0,32.0,14.0,13.0,1.0,0.0,3.0,12.0,19.0,3.0,6.0,3.0,5.0,6.0,9.0,13.0,1.0,13.0,0.0,40.0
Nikola Jokic,DEN,Pts+Asts,45.0,32.0,14.0,13.0,1.0,0.0,3.0,12.0,19.0,3.0,6.0,3.0,5.0,6.0,9.0,13.0,1.0,13.0,0.0,40.0
De'Anthony Melton,GS,Fantasy Score,44.8,22.0,7.0,2.0,1.0,2.0,2.0,7.0,16.0,3.0,6.0,3.0,5.0,5.0,4.0,10.0,4.0,3.0,3.0,20.0
Darius Garland,LAC,Fantasy Score,44.8,23.0,1.0,7.0,0.0,2.0,2.0,7.0,16.0,5.0,9.0,5.0,4.0,6.0,2.0,7.0,0.0,1.0,0.0,30.0
Bennedict Mathurin,LAC,Fantasy Score,44.8,28.0,7.0,1.0,0.0,1.0,2.0,9.0,20.0,2.0,5.0,2.0,8.0,9.0,7.0,15.0,1.0,6.0,1.0,36.0
Jaylin Williams,OKC,Pts+Rebs+Asts,44.0,29.0,12.0,3.0,2.0,0.0,1.0,10.0,17.0,7.0,11.0,7.0,2.0,4.0,3.0,6.0,0.0,12.0,4.0,40.0
Jaylin Williams,OKC,PRA,44.0,29.0,12.0,3.0,2.0,0.0,1.0,10.0,17.0,7.0,11.0,7.0,2.0,4.0,3.0,6.0,0.0,12.0,4.0,40.0
Shai Gilgeous-Alexander,OKC,Pts+Rebs,44.0,35.0,9.0,15.0,1.0,1.0,0.0,14.0,21.0,3.0,7.0,3.0,4.0,4.0,11.0,14.0,1.0,8.0,3.0,39.0
