player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Rob Dockery,LAS,Fantasy Score,61.5,33.0,10.0,2.0,2.0,0.0,3.0,11.0,22.0,0.0,4.0,0.0,11.0,11.0,11.0,18.0,5.0,5.0,3.0,38.0
Moustapha Thiam,CIN,Fantasy Score,61.5,18.0,16.0,0.0,5.0,1.0,1.0,7.0,14.0,3.0,4.0,3.0,1.0,1.0,4.0,10.0,4.0,12.0,4.0,42.0
Javan Buchanan,BSU,Fantasy Score,60.8,28.0,13.0,2.0,0.0,2.0,2.0,7.0,18.0,0.0,5.0,0.0,14.0,16.0,7.0,13.0,4.0,9.0,0.0,36.0
Robert McCray V,FSU,Fantasy Score,59.2,30.0,5.0,8.0,1.0,2.0,3.0,10.0,17.0,4.0,7.0,4.0,6.0,9.0,6.0,10.0,0.0,5.0,2.0,33.0
Zoom Diallo,WASH,Fantasy Score,58.2,22.0,7.0,11.0,0.0,1.0,4.0,7.0,20.0,1.0,4.0,1.0,7.0,8.0,6.0,16.0,2.0,5.0,4.0,43.0
Joshua Jefferson,ISU,Fantasy Score,56.5,20.0,12.0,4.0,0.0,3.0,3.0,8.0,13.0,1.0,4.0,1.0,3.0,4.0,7.0,9.0,2.0,10.0,1.0,31.0
Michael Osei-Bonsu,MOST,Fantasy Score,54.5,31.0,8.0,4.0,1.0,1.0,2.0,14.0,16.0,0.0,0.0,0.0,3.0,7.0,14.0,16.0,1.0,7.0,2.0,34.0
Zach Cleveland,LIB,Fantasy Score,54.5,20.0,14.0,4.0,0.0,1.0,3.0,9.0,14.0,0.0,0.0,0.0,2.0,4.0,9.0,14.0,6.0,8.0,0.0,35.0
Javohn Garcia,MCN,Fantasy Score,53.8,31.0,5.0,0.0,2.0,3.0,1.0,11.0,18.0,5.0,8.0,5.0,4.0,4.0,6.0,10.0,0.0,5.0,4.0,33.0
Rowan Brumbaugh,TULN,Fantasy Score,53.5,35.0,8.0,2.0,0.0,0.0,3.0,10.0,15.0,5.0,8.0,5.0,10.0,13.0,5.0,7.0,2.0,6.0,2.0,37.0
Kashie Natt,SHSU,Fantasy Score,53.0,17.0,16.0,1.0,0.0,2.0,1.0,6.0,14.0,1.0,4.0,1.0,4.0,6.0,5.0,10.0,9.0,7.0,3.0,35.0
Dailyn Swain,TEX,Fantasy Score,53.0,22.0,12.0,4.0,0.0,0.0,2.0,4.0,9.0,1.0,3.0,1.0,13.0,14.0,3.0,6.0,2.0,10.0,2.0,38.0
Michael Ajayi,BUT,Fantasy Score,52.2,21.0,11.0,4.0,0.0,1.0,2.0,7.0,17.0,0.0,2.0,0.0,7.0,8.0,7.0,15.0,0.0,11.0,4.0,34.0
Kam Woods,USC,Fantasy Score,52.0,24.0,6.0,7.0,1.0,2.0,2.0,10.0,22.0,1.0,3.0,1.0,3.0,6.0,9.0,19.0,1.0,5.0,3.0,42.0
David Punch,TCU,Fantasy Score,51.2,26.0,7.0,2.0,4.0,0.0,0.0,9.0,14.0,2.0,2.0,2.0,6.0,7.0,7.0,12.0,3.0,4.0,2.0,34.0
Cory Wells,PV,Fantasy Score,50.5,22.0,10.0,1.0,2.0,0.0,4.0,7.0,14.0,4.0,5.0,4.0,4.0,6.0,3.0,9.0,2.0,8.0,4.0,40.0
Jaylin Sellers,PROV,Fantasy Score,49.2,23.0,7.0,4.0,0.0,3.0,1.0,8.0,22.0,3.0,7.0,3.0,4.0,6.0,5.0,15.0,0.0,7.0,4.0,36.0
Joshua Ola-Joseph,LUC,Fantasy Score,49.2,26.0,7.0,4.0,0.0,1.0,0.0,7.0,8.0,4.0,5.0,4.0,8.0,8.0,3.0,3.0,3.0,4.0,1.0,33.0
Isaiah Brickner,IDHO,Fantasy Score,49.0,23.0,10.0,0.0,1.0,1.0,3.0,7.0,17.0,1.0,4.0,1.0,8.0,10.0,6.0,13.0,2.0,8.0,3.0,33.0
Xavier Edmonds,TCU,Fantasy Score,48.8,14.0,11.0,4.0,2.0,1.0,4.0,5.0,7.0,1.0,2.0,1.0,3.0,7.0,4.0,5.0,6.0,5.0,3.0,28.0
